指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
803813,2018-09-30 00:00:00,CNSESZ,0.4936,0.4291,6.112,0.0,0.2203,0.0807,0.1241,0.0194,0.1315,0.0855,0.0743,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1366,0.0,2.6181,1.561
803813,2017-09-30 00:00:00,CNSESH,0.8573,0.8507,3.3639,0.0,0.3325,0.2548,0.3323,0.0092,0.1466,0.1124,0.1116,0.0,1.0,None,None,None,None,None,None,None,None,None,5.9675,0.0,3.5291,1.1981
803813,2018-03-31 00:00:00,CNSESH,0.3091,0.3068,1.2971,0.0,0.3103,0.2383,0.3097,0.0031,0.0497,0.0382,0.0379,0.0,1.0,None,None,None,None,None,None,None,None,None,6.272,0.0,3.7945,1.204
803813,2018-12-31 00:00:00,CNSESZ,0.6752,0.5519,8.7779,0.009,0.2203,0.0769,0.1207,0.025,0.1751,0.1115,0.0912,0.0134,0.9866,None,None,None,None,None,None,None,None,None,0.22,0.0,2.776,1.6049
803813,2019-03-31 00:00:00,CNSESZ,0.1639,0.147,2.1363,0.0,0.2216,0.0767,0.1213,0.006,0.0417,0.0263,0.0236,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1508,0.0,2.938,1.6048
803813,2019-09-30 00:00:00,CNSESZ,0.5642,0.4702,6.8254,0.0,0.2174,0.0826,0.1308,0.0201,0.1426,0.0901,0.0751,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1903,0.0,3.0093,1.7482
803813,2019-06-30 00:00:00,CNSESZ,0.3577,0.3116,4.4909,0.0,0.2192,0.0796,0.1273,0.0129,0.0931,0.0582,0.0507,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2561,0.0,2.8629,1.6612
803813,2017-03-31 00:00:00,CNSESZ,0.1402,0.1328,1.7776,0.0,0.2135,0.0788,0.111,0.0059,0.0359,0.0255,0.0242,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1274,0.0,2.4009,1.6777
803813,2017-12-31 00:00:00,CNSESH,1.0841,1.0753,4.4356,0.0264,0.3194,0.2444,0.3192,0.0114,0.1809,0.1385,0.1373,0.0427,0.9573,None,None,None,None,None,None,None,None,None,6.074,0.0,3.6166,1.1961
803813,2017-06-30 00:00:00,CNSESH,0.5804,0.5762,2.3018,0.0,0.329,0.2521,0.3288,0.0063,0.1032,0.0791,0.0785,0.0,1.0,None,None,None,None,None,None,None,None,None,6.343,0.0,3.2801,1.1892
803813,2018-06-30 00:00:00,CNSESZ,0.3454,0.2953,3.9977,0.0,0.2201,0.0864,0.1292,0.0136,0.0916,0.0612,0.0523,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2004,0.0,2.5155,1.55
803813,2020-03-31 00:00:00,CNSESH,0.337,0.3033,1.4483,0.0,0.297,0.2327,0.2938,0.0029,0.0425,0.0336,0.0302,0.0,1.0,None,None,None,None,None,None,None,None,None,6.4735,0.0,5.0501,1.2161
803813,2019-12-31 00:00:00,CNSESZ,0.567,0.563,9.3004,0.1817,0.2168,0.0609,0.1071,0.0207,0.1604,0.0913,0.0906,0.06,0.94,None,None,None,None,None,None,None,None,None,0.255,0.0,2.7698,1.7077
803813,2020-06-30 00:00:00,CNSESZ,0.3611,0.3076,4.4271,0.0,0.2048,0.0815,0.1228,0.0123,0.086,0.0571,0.0486,0.0,1.0,None,None,None,None,None,None,None,None,None,0.337,0.0,2.8227,1.7795
803813,2020-09-30 00:00:00,CNSESZ,0.5664,0.4586,6.9784,0.0,0.2046,0.0811,0.1218,0.0188,0.1294,0.0862,0.0698,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0826,0.0,2.991,1.8426
803813,2020-12-31 00:00:00,CNSESZ,0.7422,0.6087,9.8547,0.2451,0.1992,0.0753,0.1144,0.0237,0.1692,0.1113,0.0913,0.0281,0.9719,None,None,None,None,None,None,None,None,None,0.2874,0.0,2.9864,1.8615
803813,2021-06-30 00:00:00,CNSESH,0.6838,0.6164,2.9851,0.0,0.2903,0.229,0.2866,0.0053,0.0769,0.0614,0.0554,0.0,1.0,None,None,None,None,None,None,None,None,None,7.262,0.0,5.515,1.2732
803813,2021-03-31 00:00:00,CNSESH,0.3547,0.3503,1.5343,0.0,0.2941,0.2311,0.2904,0.0028,0.0401,0.0319,0.0315,0.0,1.0,None,None,None,None,None,None,None,None,None,8.6675,0.0,5.5784,1.2779
803813,2021-09-30 00:00:00,CNSESH,1.0186,1.012,4.3992,0.0,0.2957,0.2315,0.2917,0.0078,0.112,0.0889,0.0883,0.0,1.0,None,None,None,None,None,None,None,None,None,4.702,0.0,5.807,1.2739
803813,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
