指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850222,2018-09-30 00:00:00,CNSESZ,0.2851,0.2876,2.5334,0.0,0.2668,0.1125,0.1864,0.0842,0.2782,0.1679,0.1694,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4764,0.0626
850222,2017-09-30 00:00:00,CNSESH,0.2193,0.0546,2.5797,0.0,0.1906,0.085,0.1341,0.0537,0.193,0.1224,0.0305,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0647,0.9627
850222,2018-03-31 00:00:00,CNSESZ,0.0757,0.0762,0.7711,0.0,0.2411,0.0982,0.1606,0.0247,0.0668,0.0408,0.0411,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4995,0.4292
850222,2017-12-31 00:00:00,CNSESZ,0.2593,0.2705,2.9805,0.0,0.238,0.087,0.1424,0.088,0.2381,0.1455,0.1517,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4238,0.4288
850222,2017-06-30 00:00:00,CNSESH,0.1225,0.0246,1.6567,0.0,0.1795,0.0739,0.1219,0.0313,0.1171,0.071,0.0143,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0347,0.9094
850222,2017-03-31 00:00:00,CNSESZ,0.1349,0.1351,1.2303,0.0,0.2465,0.1096,0.1676,0.0235,0.0703,0.0459,0.046,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5239,1.5719
850222,2018-12-31 00:00:00,CNSESZ,0.4392,0.4195,3.702,0.2007,0.281,0.1186,0.1973,0.1228,0.4028,0.2422,0.2313,0.4568,0.5432,None,None,None,None,None,None,None,None,None,0.0,0.0,0.632,0.0768
850222,2019-03-31 00:00:00,CNSESZ,0.0914,0.0918,1.0548,0.0,0.2279,0.0866,0.1469,0.027,0.0816,0.0481,0.0483,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7234,0.0777
850222,2019-06-30 00:00:00,CNSESZ,0.1524,0.153,1.8896,0.0,0.2242,0.0806,0.1398,0.0455,0.1348,0.0777,0.0781,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7844,0.0786
850222,2019-09-30 00:00:00,CNSESZ,0.2012,0.203,2.6345,0.0,0.2242,0.0763,0.1334,0.0547,0.1983,0.1135,0.1145,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.832,0.0874
850222,2018-06-30 00:00:00,CNSESZ,0.1321,0.1329,1.6244,0.0,0.217,0.0813,0.1353,0.0442,0.1167,0.0701,0.0706,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5338,0.4292
850222,2020-03-31 00:00:00,CNSESH,0.0327,0.0293,0.9577,0.0,0.0735,0.0341,0.0523,0.0064,0.0131,0.0086,0.0077,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2845,2.4168
850222,2019-12-31 00:00:00,CNSESZ,0.2331,0.2348,3.4372,0.0,0.2174,0.0678,0.1239,0.063,0.2286,0.125,0.1259,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8625,0.0976
850222,2020-09-30 00:00:00,CNSESZ,0.1127,0.1195,2.2009,0.0,0.1727,0.0512,0.1058,0.0319,0.1142,0.0552,0.0585,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9798,0.0865
850222,2020-06-30 00:00:00,CNSESZ,0.0156,0.0195,1.2795,0.0,0.1613,0.0122,0.052,0.0096,0.0341,0.008,0.01,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8781,0.0976
850222,2020-12-31 00:00:00,CNSESZ,0.1648,0.2159,3.0055,0.0,0.1969,0.0548,0.1116,0.0427,0.1578,0.0775,0.1015,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9735,0.295
850222,2021-03-31 00:00:00,CNSESH,0.1943,0.19,1.5766,0.0,0.1649,0.1232,0.1683,0.0287,0.0674,0.0494,0.0483,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6582,2.3726
850222,2021-06-30 00:00:00,CNSESH,0.3824,0.3731,3.0641,0.0,0.1421,0.1248,0.1597,0.0587,0.1298,0.1014,0.0989,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7302,2.1768
850222,2021-09-30 00:00:00,CNSESH,0.4777,0.4654,4.6698,0.0,0.1149,0.1022,0.1309,0.0741,0.1614,0.1261,0.1228,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8115,2.1912
850222,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
