指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850242,2018-09-30 00:00:00,CNSESZ,0.2497,0.2514,1.8625,0.0,0.2981,0.1341,0.1258,0.0218,0.0433,0.0462,0.0465,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8197,6.3339
850242,2017-09-30 00:00:00,CNSESH,0.2848,0.275,3.0172,0.0,0.2523,0.0944,0.1378,0.0374,0.0652,0.0446,0.0431,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4356,2.7438
850242,2018-03-31 00:00:00,CNSESZ,0.0034,0.0026,0.5652,0.0,0.2992,0.0061,0.1578,0.0152,0.0253,0.0009,0.0007,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1033,1.4139
850242,2017-03-31 00:00:00,CNSESZ,0.002,0.0016,0.3891,0.0,0.2855,0.0051,0.0481,0.0039,0.0058,0.0006,0.0005,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9171,1.674
850242,2017-06-30 00:00:00,CNSESZ,0.0982,0.0974,1.0463,0.0,0.3177,0.0939,0.1443,0.0238,0.0475,0.0309,0.0307,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0133,1.3468
850242,2018-06-30 00:00:00,CNSESZ,0.1095,0.1084,1.3345,0.0,0.2681,0.082,0.08,0.0148,0.0321,0.0329,0.0326,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1593,1.2689
850242,2018-12-31 00:00:00,CNSESZ,0.4414,0.446,3.4532,0.0,0.2997,0.1278,0.1738,0.0584,0.1063,0.0782,0.079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.01,6.3286
850242,2019-03-31 00:00:00,CNSESH,0.1347,0.1352,1.1794,0.0,0.2753,0.1142,0.1619,0.0158,0.0279,0.0197,0.0198,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.996,2.7317
850242,2019-06-30 00:00:00,CNSESH,0.2837,0.2928,2.6172,0.0,0.2575,0.1084,0.1545,0.0303,0.0584,0.041,0.0423,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.0709,2.7317
850242,2019-09-30 00:00:00,CNSESH,0.399,0.4049,4.1093,0.0,0.2579,0.0971,0.1526,0.0449,0.0889,0.0566,0.0574,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1862,2.7317
850242,2017-12-31 00:00:00,CNSESZ,0.2848,0.2786,2.8115,0.0,0.3129,0.1013,0.1491,0.0736,0.1208,0.082,0.0802,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0998,1.3946
850242,2019-12-31 00:00:00,CNSESH,0.5306,0.5423,5.886,0.0,0.2698,0.0901,0.149,0.0622,0.1231,0.0744,0.0761,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2993,2.7317
850242,2020-06-30 00:00:00,CNSESH,0.3352,0.3309,3.0532,0.0,0.2467,0.1098,0.1519,0.0341,0.0633,0.0458,0.0452,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5537,2.7374
850242,2020-03-31 00:00:00,CNSESH,0.1634,0.0,1.3643,0.0,0.2558,0.1197,0.1698,0.0175,0.0319,0.0225,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.461,2.7317
850242,2020-12-31 00:00:00,CNSESH,0.6261,0.627,6.6222,0.0,0.2773,0.0945,0.1536,0.0621,0.1318,0.0811,0.0812,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.8298,2.7374
850242,2020-09-30 00:00:00,CNSESH,0.4728,0.4646,4.7485,0.0,0.2643,0.0995,0.1554,0.0505,0.0992,0.0635,0.0624,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.6912,2.7374
850242,2021-06-30 00:00:00,CNSESH,0.4061,0.4053,3.6617,0.0,0.2681,0.1109,0.1836,0.0392,0.0837,0.0505,0.0504,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.1541,2.7376
850242,2021-03-31 00:00:00,CNSESH,0.2137,0.2134,1.5961,0.0,0.2866,0.1339,0.2072,0.0201,0.0417,0.0269,0.0269,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.0409,2.7374
850242,2021-09-30 00:00:00,CNSESH,0.5934,0.5921,5.5177,0.0,0.2633,0.1075,0.1662,0.0549,0.1132,0.0732,0.0731,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.2748,2.8977
850242,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
