指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850311,2018-09-30 00:00:00,CNSESZ,0.3727,0.3248,12.5339,0.0,0.0898,0.0297,0.0532,0.0444,0.1391,0.0777,0.0677,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8127,2.0121
850311,2017-09-30 00:00:00,CNSESH,0.3118,0.2998,13.2304,0.0,0.0945,0.0235,0.0403,0.0296,0.0989,0.0578,0.0555,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.149,0.8848
850311,2018-03-31 00:00:00,CNSESZ,0.123,0.1127,3.616,0.0,0.1,0.034,0.0584,0.0138,0.0459,0.0267,0.0245,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5572,2.0121
850311,2017-06-30 00:00:00,CNSESH,0.2174,0.2099,8.8195,0.0,0.0925,0.0246,0.0412,0.0204,0.0674,0.0403,0.0389,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1428,0.885
850311,2017-03-31 00:00:00,CNSESZ,0.1374,0.1224,3.2438,0.0,0.1213,0.0423,0.0727,0.0161,0.0603,0.0351,0.0313,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1842,1.9947
850311,2018-12-31 00:00:00,CNSESZ,0.4089,0.3503,17.9684,0.0,0.0761,0.0227,0.0401,0.0507,0.1482,0.084,0.072,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.836,2.0212
850311,2019-03-31 00:00:00,CNSESZ,0.1419,0.1203,4.6581,0.0,0.0808,0.0304,0.0508,0.0157,0.0472,0.0282,0.0239,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9675,2.0212
850311,2019-06-30 00:00:00,CNSESZ,0.2497,0.2038,9.1013,0.0,0.0785,0.0274,0.0466,0.0313,0.0838,0.0493,0.0402,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5866,0.0,2.0643,1.9946
850311,2019-09-30 00:00:00,CNSESZ,0.3805,0.2797,13.9163,0.0,0.0784,0.0273,0.0475,0.0456,0.1284,0.0739,0.0543,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0727,2.0098
850311,2017-12-31 00:00:00,CNSESZ,0.5605,0.4956,14.7632,0.0,0.1041,0.0379,0.0655,0.0664,0.2168,0.1255,0.111,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4691,2.0121
850311,2018-06-30 00:00:00,CNSESZ,0.2745,0.2438,7.8655,0.0,0.0994,0.0349,0.0609,0.0322,0.1025,0.0586,0.0521,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7293,2.0121
850311,2019-12-31 00:00:00,CNSESZ,0.3102,0.2396,18.1894,0.0757,0.0736,0.017,0.0352,0.0424,0.1242,0.0601,0.0464,0.0635,0.9365,None,None,None,None,None,None,None,None,None,1.8988,0.0,2.1,1.9552
850311,2020-03-31 00:00:00,CNSESH,-0.1484,-0.1533,4.1459,0.0,0.0113,-0.0358,-0.0474,-0.0096,-0.0353,-0.0267,-0.0275,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0538,0.897
850311,2020-06-30 00:00:00,CNSESZ,-0.0164,-0.0517,6.2051,0.0,0.0589,-0.0026,0.0196,0.0066,0.0232,-0.0031,-0.0098,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9947,2.15
850311,2020-09-30 00:00:00,CNSESZ,0.1695,0.1352,9.5847,0.0,0.08,0.0176,0.0397,0.0254,0.0729,0.0324,0.0259,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.091,2.1151
850311,2020-12-31 00:00:00,CNSESZ,0.3439,0.2872,13.2156,0.0383,0.0926,0.026,0.0465,0.0422,0.1144,0.0639,0.0534,0.1408,0.8592,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2527,2.1152
850311,2021-06-30 00:00:00,CNSESH,0.3016,0.2957,9.4077,0.0,0.1123,0.032,0.0556,0.0244,0.0939,0.054,0.053,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3817,0.891
850311,2021-03-31 00:00:00,CNSESZ,0.2064,0.1975,3.3446,0.0,0.1279,0.0617,0.0917,0.0193,0.0566,0.0381,0.0364,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4592,2.1151
850311,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
850311,2021-09-30 00:00:00,CNSESH,0.4658,0.4565,14.9633,0.0,0.107,0.0311,0.0521,0.0374,0.136,0.0812,0.0796,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4063,0.8833
