指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850323,2018-09-30 00:00:00,CNSESH,0.3602,0.3556,3.835,0.0,0.335,0.0939,0.1816,0.0559,0.1773,0.0916,0.0905,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3554,1.4676
850323,2017-12-31 00:00:00,CNSESZ,0.3022,0.2572,2.2668,0.0,0.3846,0.1333,0.1776,0.0599,0.1167,0.0876,0.0745,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.746,1.6989
850323,2018-03-31 00:00:00,CNSESZ,0.0817,0.076,0.5612,0.0,0.3943,0.1457,0.2185,0.0163,0.0348,0.0232,0.0216,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8278,1.6989
850323,2017-06-30 00:00:00,CNSESZ,0.1538,0.1435,1.083,0.0,0.3672,0.142,0.1796,0.0312,0.0592,0.0468,0.0437,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6086,1.6989
850323,2018-06-30 00:00:00,CNSESZ,0.2398,0.1559,1.2109,0.0,0.3902,0.198,0.2579,0.041,0.0832,0.0639,0.0415,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9092,2.1393
850323,2018-12-31 00:00:00,CNSESZ,0.4712,0.3593,2.7856,0.0,0.4038,0.1691,0.2234,0.0762,0.1583,0.1198,0.0914,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1149,2.1262
850323,2019-03-31 00:00:00,CNSESZ,0.0964,0.0276,0.6107,0.0,0.4325,0.1578,0.2552,0.0196,0.0597,0.0369,0.0105,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0951,2.2402
850323,2019-06-30 00:00:00,CNSESZ,0.1614,0.0931,1.2814,0.0,0.357,0.126,0.2031,0.0356,0.1054,0.0654,0.0377,0.0,1.0,None,None,None,None,None,None,None,None,None,2.036,0.0,0.0448,1.938
850323,2017-03-31 00:00:00,CNSESZ,0.0766,0.0735,0.5672,0.0,0.3776,0.135,0.16,0.0117,0.0226,0.019,0.0183,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7157,2.37
850323,2019-09-30 00:00:00,CNSESZ,0.1844,0.0804,1.9478,0.0,0.3247,0.0946,0.1641,0.0434,0.138,0.0796,0.0347,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0471,1.8795
850323,2017-09-30 00:00:00,CNSESH,0.2697,0.258,3.5295,0.0,0.3111,0.0764,0.1489,0.0469,0.1341,0.0688,0.0658,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1006,1.6289
850323,2019-12-31 00:00:00,CNSESZ,0.2053,0.1342,2.6799,0.0,0.3089,0.0766,0.1354,0.0521,0.144,0.0815,0.0532,0.0,1.0,None,None,None,None,None,None,None,None,None,2.214,0.0,0.0505,1.6683
850323,2020-03-31 00:00:00,CNSESH,0.0579,0.0235,1.0214,0.0,0.2751,0.0567,0.1034,0.0109,0.0277,0.0152,0.0061,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3442,1.7277
850323,2020-09-30 00:00:00,CNSESZ,0.2248,0.1185,2.1836,0.0,0.2464,0.1029,0.1584,0.0423,0.1109,0.072,0.0379,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1981,2.1069
850323,2020-06-30 00:00:00,CNSESZ,0.1651,0.1116,1.2331,0.0,0.312,0.1339,0.196,0.0331,0.0853,0.0582,0.0393,0.0,1.0,None,None,None,None,None,None,None,None,None,2.382,0.0,0.1711,1.8239
850323,2020-12-31 00:00:00,CNSESZ,0.2302,0.1618,2.5323,0.0,0.277,0.0909,0.1449,0.0472,0.1199,0.0752,0.0528,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2141,1.9797
850323,2021-06-30 00:00:00,CNSESZ,0.1203,0.1123,1.4437,0.0,0.2684,0.0833,0.1373,0.0209,0.0548,0.0332,0.031,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.307,2.2885
850323,2021-03-31 00:00:00,CNSESZ,0.0841,0.0776,0.7476,0.0,0.2923,0.1125,0.1656,0.014,0.0371,0.0252,0.0233,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2824,2.2885
850323,2021-09-30 00:00:00,CNSESZ,0.1471,0.1367,2.0855,0.0,0.2605,0.0705,0.1203,0.0271,0.069,0.0404,0.0376,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3338,2.2884
850323,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
