指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850333,2018-09-30 00:00:00,CNSESZ,0.4456,0.3071,4.5103,0.0,0.3236,0.0987,0.1575,0.0518,0.1335,0.0837,0.0577,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2566,0.0,1.632,2.7773
850333,2017-09-30 00:00:00,CNSESH,0.7657,0.711,8.1662,0.0,0.2346,0.0937,0.1347,0.0834,0.1792,0.1247,0.1158,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2984,2.3877
850333,2018-12-31 00:00:00,CNSESZ,0.3873,0.2373,6.0187,0.0033,0.3211,0.0643,0.1167,0.0461,0.1317,0.0726,0.0445,0.0046,0.9954,None,None,None,None,None,None,None,None,None,0.3973,0.0,1.5333,2.6721
850333,2019-03-31 00:00:00,CNSESZ,0.1369,0.122,1.6186,0.0,0.316,0.0845,0.148,0.0193,0.0416,0.0238,0.0212,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7636,2.7231
850333,2019-06-30 00:00:00,CNSESZ,0.2296,0.2095,3.1238,0.0,0.3084,0.0735,0.1342,0.0343,0.0758,0.0415,0.0379,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3993,0.0,1.7199,2.5807
850333,2019-09-30 00:00:00,CNSESZ,0.3363,0.2979,5.2367,0.0,0.2714,0.0642,0.1188,0.0502,0.1109,0.0599,0.0531,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4081,0.0,1.7652,2.5819
850333,2017-03-31 00:00:00,CNSESZ,0.1133,0.1028,1.3023,0.0,0.2237,0.087,0.122,0.0171,0.0361,0.0257,0.0233,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3222,2.124
850333,2017-12-31 00:00:00,CNSESH,1.0219,0.9428,10.1088,0.0,0.2496,0.101,0.1419,0.0958,0.2081,0.1482,0.1367,0.0,1.0,None,None,None,None,None,None,None,None,None,0.91,0.0,3.3739,3.0898
850333,2017-06-30 00:00:00,CNSESH,0.4903,0.4612,5.459,0.0,0.2203,0.0898,0.1271,0.0529,0.1163,0.0822,0.0773,0.0,1.0,None,None,None,None,None,None,None,None,None,0.369,0.0,3.0577,2.3877
850333,2018-03-31 00:00:00,CNSESH,0.3612,0.3453,3.1361,0.0,0.2668,0.1151,0.1746,0.0384,0.0756,0.0498,0.0476,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.6589,3.1144
850333,2018-06-30 00:00:00,CNSESZ,0.3976,0.2549,3.0881,0.0,0.3262,0.1287,0.1925,0.0513,0.1287,0.0861,0.0552,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3726,0.0,1.5895,2.8119
850333,2019-12-31 00:00:00,CNSESZ,0.1793,0.1717,6.6637,0.0162,0.2849,0.0269,0.0746,0.0361,0.0879,0.0317,0.0303,0.0053,0.9947,None,None,None,None,None,None,None,None,None,1.4343,0.0,1.7292,2.6468
850333,2020-03-31 00:00:00,CNSESH,0.4188,0.3961,3.566,0.0,0.2514,0.1174,0.1426,0.0288,0.0594,0.0489,0.0462,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.8233,2.5901
850333,2020-06-30 00:00:00,CNSESZ,0.2074,0.1972,3.5383,0.0,0.2742,0.0586,0.1105,0.0285,0.0705,0.0374,0.0355,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8025,0.0,1.7852,2.6773
850333,2020-09-30 00:00:00,CNSESZ,0.3148,0.2688,5.4085,0.0,0.2519,0.0582,0.107,0.0421,0.1004,0.0546,0.0466,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7748,2.666
850333,2020-12-31 00:00:00,CNSESZ,0.2615,0.2156,7.0587,0.0074,0.2616,0.037,0.0921,0.0479,0.1143,0.046,0.0379,0.004,0.996,None,None,None,None,None,None,None,None,None,0.8456,0.0,1.8245,2.6745
850333,2021-06-30 00:00:00,CNSESZ,0.3013,0.2243,3.8782,0.0,0.2565,0.0777,0.1143,0.0314,0.0753,0.0511,0.038,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0344,2.6892
850333,2021-03-31 00:00:00,CNSESH,0.4264,0.4043,3.9805,0.0,0.2174,0.1071,0.1249,0.0271,0.0581,0.0498,0.0472,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.306,2.2242
850333,2021-09-30 00:00:00,CNSESZ,0.3232,0.2415,5.6957,0.0,0.2483,0.0567,0.101,0.0395,0.0972,0.0546,0.0408,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0229,2.7916
850333,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
