指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850337,2017-09-30 00:00:00,CNSESZ,0.1778,0.1571,3.0251,0.0,0.2673,0.0587,0.0967,0.0321,0.0769,0.0467,0.0412,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2723,1.4036
850337,2018-09-30 00:00:00,CNSESZ,0.2006,0.1809,3.164,0.0,0.2719,0.0634,0.1158,0.0362,0.0944,0.0516,0.0466,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3435,1.6033
850337,2017-12-31 00:00:00,CNSESZ,0.2289,0.1892,4.3121,0.0125,0.272,0.053,0.0918,0.0408,0.1013,0.0585,0.0484,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2851,1.5241
850337,2018-03-31 00:00:00,CNSESZ,0.019,0.0101,0.7948,0.0,0.2378,0.024,0.0657,0.0062,0.0135,0.0049,0.0026,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2676,1.6889
850337,2017-06-30 00:00:00,CNSESH,0.0342,0.0207,0.8145,0.0,0.302,0.042,0.0972,0.0097,0.0358,0.0155,0.0094,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4099,0.7778
850337,2018-06-30 00:00:00,CNSESZ,0.1328,0.1151,1.9771,0.0,0.2709,0.0671,0.1182,0.0246,0.0619,0.0351,0.0304,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2799,1.6296
850337,2017-03-31 00:00:00,CNSESZ,0.0229,0.0187,0.777,0.0,0.2573,0.0295,0.0623,0.0058,0.013,0.0061,0.005,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2071,1.4625
850337,2018-12-31 00:00:00,CNSESZ,0.2415,0.188,4.6091,0.0,0.2777,0.0524,0.1026,0.045,0.1196,0.0611,0.0475,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.372,1.7009
850337,2019-03-31 00:00:00,CNSESZ,0.0221,0.0053,0.8514,0.0,0.2317,0.026,0.0678,0.0051,0.0139,0.0053,0.0012,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3975,1.7005
850337,2019-06-30 00:00:00,CNSESZ,0.1483,0.1239,2.1096,0.0,0.274,0.0703,0.1219,0.0226,0.063,0.0363,0.0303,0.0,1.0,None,None,None,None,None,None,None,None,None,0.349,0.0,1.4482,1.6455
850337,2019-09-30 00:00:00,CNSESZ,0.2267,0.1829,3.3553,0.0,0.2809,0.0675,0.1206,0.0344,0.098,0.0549,0.0443,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4725,1.6588
850337,2019-12-31 00:00:00,CNSESZ,0.2555,0.1671,4.7026,0.0,0.2866,0.0543,0.1061,0.041,0.1173,0.06,0.0393,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3718,0.0,1.5125,1.6307
850337,2020-03-31 00:00:00,CNSESH,-0.0214,0.0053,0.367,0.0,0.2335,-0.0585,0.0162,-0.0015,0.002,-0.0072,0.0017,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5899,1.3346
850337,2020-06-30 00:00:00,CNSESZ,0.1254,0.1163,1.9426,0.0,0.2845,0.0645,0.1211,0.019,0.055,0.0293,0.0272,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.546,1.5811
850337,2020-09-30 00:00:00,CNSESZ,0.2296,0.2129,3.2912,0.0,0.2895,0.0697,0.1231,0.0328,0.094,0.0532,0.0493,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6309,1.6143
850337,2020-12-31 00:00:00,CNSESZ,0.3001,0.271,4.7617,0.0041,0.2787,0.063,0.1134,0.0405,0.1181,0.0656,0.0592,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6276,2.1638
850337,2021-06-30 00:00:00,CNSESZ,0.1803,0.1698,2.3603,0.0,0.2713,0.0763,0.1294,0.0239,0.0709,0.0418,0.0394,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6037,1.9518
850337,2021-03-31 00:00:00,CNSESZ,0.0461,0.0426,1.0434,0.0,0.2453,0.0442,0.0891,0.007,0.0204,0.0101,0.0094,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6713,2.1921
850337,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
850337,2021-09-30 00:00:00,CNSESH,0.2108,0.1821,2.4461,0.0,0.2548,0.0862,0.1392,0.0382,0.1174,0.0727,0.0628,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7927,1.1925
