指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850341,2018-09-30 00:00:00,CNSESZ,0.2696,0.2604,7.4501,0.0,0.0745,0.0361,0.0667,0.0448,0.1944,0.1053,0.1017,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9391,0.9516
850341,2017-09-30 00:00:00,CNSESZ,0.3545,0.3142,10.4456,0.0,0.0599,0.0339,0.0503,0.046,0.1435,0.0968,0.0858,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2503,1.3276
850341,2018-03-31 00:00:00,CNSESZ,0.1414,0.1432,3.4583,0.0,0.0649,0.0408,0.0557,0.0133,0.0506,0.0372,0.0376,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4649,1.2042
850341,2017-06-30 00:00:00,CNSESH,0.3171,0.3028,6.7402,0.0,0.1025,0.047,0.0678,0.043,0.1137,0.0788,0.0753,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7552,1.5534
850341,2018-12-31 00:00:00,CNSESZ,0.2054,0.173,10.4703,0.0124,0.0619,0.0196,0.0421,0.04,0.1734,0.0807,0.0679,-0.2374,1.2374,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8499,1.0798
850341,2017-03-31 00:00:00,CNSESZ,0.1437,0.1181,3.2249,0.0,0.0704,0.0445,0.0637,0.0173,0.0516,0.0361,0.0297,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3615,1.7954
850341,2019-03-31 00:00:00,CNSESZ,0.177,0.1738,0.9784,0.0,0.1695,0.1809,0.3028,0.0254,0.0828,0.0494,0.0485,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4622,0.804
850341,2019-06-30 00:00:00,CNSESZ,0.2102,0.1859,2.4421,0.0,0.1352,0.0861,0.1673,0.0376,0.1156,0.0595,0.0526,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3347,0.81
850341,2019-09-30 00:00:00,CNSESZ,0.3055,0.2561,3.8439,0.0,0.1269,0.0794,0.1533,0.0513,0.1665,0.0863,0.0724,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4027,0.8107
850341,2017-12-31 00:00:00,CNSESZ,0.4493,0.3858,14.1595,0.0554,0.0577,0.0317,0.0463,0.0546,0.1782,0.1219,0.1047,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3235,1.2039
850341,2018-06-30 00:00:00,CNSESZ,0.1907,0.1826,6.0635,0.0,0.0625,0.0314,0.0554,0.0278,0.1053,0.0597,0.0572,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1359,1.1362
850341,2020-03-31 00:00:00,CNSESH,0.039,-0.0231,3.4146,0.0,0.0524,0.0114,0.0227,0.0053,0.0103,0.0051,-0.003,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,4.4973,2.7114
850341,2019-12-31 00:00:00,CNSESZ,0.3854,0.1953,4.4739,0.0156,0.1377,0.0861,0.1689,0.0688,0.225,0.1148,0.0581,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4,0.0,1.4759,0.8143
850341,2020-06-30 00:00:00,CNSESZ,-0.0217,-0.0242,1.7352,0.0,0.1581,-0.0125,0.0717,0.014,0.0399,-0.0069,-0.0077,0.0,1.0,None,None,None,None,None,None,None,None,None,0.758,0.0,1.378,0.7915
850341,2020-09-30 00:00:00,CNSESZ,-0.0647,0.0211,2.6709,0.0,0.1547,-0.0242,0.0549,0.0143,0.0458,-0.0202,0.0066,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.271,0.8945
850341,2020-12-31 00:00:00,CNSESZ,-0.2132,-0.0901,3.4579,0.0149,0.1623,-0.0616,0.0444,0.0101,0.0471,-0.0653,-0.0276,0.0,1.0,None,None,None,None,None,None,None,None,None,0.88,0.0,1.1309,0.8748
850341,2021-03-31 00:00:00,CNSESZ,0.1068,0.1017,0.9604,0.0,0.173,0.1112,0.1942,0.018,0.0587,0.0336,0.032,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2053,0.8682
850341,2021-09-30 00:00:00,CNSESH,1.1929,1.133,22.6441,0.0,0.1022,0.0526,0.0741,0.0709,0.1817,0.1291,0.1226,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.4002,3.8733
850341,2021-06-30 00:00:00,CNSESH,0.8801,0.856,15.856,0.0,0.1055,0.0555,0.0773,0.0506,0.1338,0.096,0.0934,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.4411,2.7565
850341,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
