指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850342,2018-03-31 00:00:00,CNSESH,0.0112,0.0097,0.6279,0.0,0.1433,0.0178,0.0515,0.0062,0.0148,0.0051,0.0044,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1889,0.8304
850342,2018-09-30 00:00:00,CNSESH,0.0716,0.0504,2.2711,0.0,0.151,0.0315,0.0584,0.0254,0.0527,0.0284,0.02,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2323,0.8304
850342,2017-12-31 00:00:00,CNSESH,0.0442,0.0312,2.4433,0.0,0.1505,0.0181,0.0459,0.0227,0.051,0.0201,0.0142,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1777,0.8304
850342,2017-03-31 00:00:00,CNSESH,0.0165,0.0153,0.5738,0.0,0.1836,0.0287,0.0597,0.0059,0.0156,0.0075,0.007,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1793,0.3638
850342,2018-06-30 00:00:00,CNSESH,0.0457,0.0332,1.4522,0.0,0.1559,0.0314,0.0567,0.0156,0.0333,0.0185,0.0134,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2063,0.8304
850342,2017-06-30 00:00:00,CNSESH,0.038,0.0332,1.1158,0.0,0.1685,0.034,0.068,0.0148,0.035,0.0175,0.0153,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1772,0.8304
850342,2018-12-31 00:00:00,CNSESH,0.0675,0.0522,3.0413,0.0,0.1563,0.0222,0.051,0.0304,0.0634,0.0275,0.0213,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.228,0.8304
850342,2019-03-31 00:00:00,CNSESH,0.0243,0.019,0.7468,0.0,0.181,0.0325,0.0689,0.0092,0.0205,0.0097,0.0076,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2523,0.8304
850342,2019-06-30 00:00:00,CNSESH,0.0914,0.0827,1.6054,0.0,0.2097,0.0569,0.0886,0.0257,0.0577,0.037,0.0335,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2944,0.8304
850342,2019-09-30 00:00:00,CNSESH,0.1563,0.137,2.5382,0.0,0.2124,0.0615,0.0886,0.0403,0.0902,0.0627,0.0549,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3593,0.8304
850342,2017-09-30 00:00:00,CNSESH,0.0575,0.0485,1.7822,0.0,0.1623,0.0322,0.0643,0.0225,0.05,0.0251,0.0212,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1967,0.8304
850342,2019-12-31 00:00:00,CNSESH,0.1998,0.1628,3.3004,0.06,0.2148,0.0605,0.0846,0.0531,0.1105,0.0791,0.0644,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3784,0.8304
850342,2020-06-30 00:00:00,CNSESH,0.1098,0.0919,1.3982,0.0,0.2091,0.0785,0.1097,0.0249,0.0587,0.042,0.0352,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4283,0.8304
850342,2020-03-31 00:00:00,CNSESH,0.0254,0.0218,0.6143,0.0,0.1783,0.0413,0.0676,0.0065,0.0159,0.0097,0.0083,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4039,0.8304
850342,2020-09-30 00:00:00,CNSESH,0.1888,0.1667,2.4162,0.0,0.2012,0.0781,0.1063,0.0426,0.0937,0.0688,0.0607,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5073,0.8304
850342,2020-12-31 00:00:00,CNSESH,0.3173,0.278,3.6624,0.0999,0.1774,0.0866,0.1124,0.0706,0.1469,0.1132,0.0991,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6108,0.8304
850342,2021-03-31 00:00:00,CNSESH,0.0669,0.0646,0.8826,0.0,0.1834,0.0758,0.1032,0.0142,0.0325,0.0239,0.0231,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6778,0.8304
850342,2021-09-30 00:00:00,CNSESH,0.3741,0.3603,3.212,0.0,0.2146,0.1164,0.1485,0.0712,0.1576,0.1236,0.119,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.885,0.8304
850342,2021-06-30 00:00:00,CNSESH,0.249,0.2385,1.9488,0.0,0.2343,0.1278,0.1628,0.0482,0.111,0.0871,0.0834,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7599,0.8304
850342,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
