指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850372,2018-09-30 00:00:00,CNSESZ,0.2988,0.2853,6.9241,0.0,0.0969,0.0431,0.0561,0.0538,0.105,0.0808,0.0771,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3203,1.3349
850372,2018-03-31 00:00:00,CNSESZ,0.1044,0.1026,1.5161,0.0,0.1321,0.0689,0.0936,0.0234,0.0407,0.0299,0.0294,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2402,1.3505
850372,2017-06-30 00:00:00,CNSESZ,0.1445,0.1393,2.3317,0.0,0.1389,0.062,0.0791,0.0344,0.0576,0.0451,0.0435,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9568,1.3505
850372,2018-06-30 00:00:00,CNSESZ,0.2094,0.203,3.5555,0.0,0.1259,0.0589,0.0769,0.0403,0.0761,0.0582,0.0564,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2309,1.3339
850372,2017-03-31 00:00:00,CNSESZ,0.0856,0.0828,1.0896,0.0,0.1501,0.0786,0.0971,0.0207,0.0344,0.0278,0.0269,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9819,1.1338
850372,2019-03-31 00:00:00,CNSESZ,0.0779,0.0733,1.0992,0.0,0.2431,0.0709,0.1035,0.015,0.0297,0.0203,0.0191,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0238,1.6765
850372,2018-12-31 00:00:00,CNSESZ,0.3614,0.336,11.8792,0.0,0.0762,0.0304,0.039,0.0678,0.1229,0.0957,0.089,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3496,1.3426
850372,2019-09-30 00:00:00,CNSESZ,0.7085,0.5794,14.0117,0.0,0.0616,0.0505,0.0705,0.1135,0.2574,0.1844,0.1508,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1065,1.681
850372,2019-06-30 00:00:00,CNSESZ,0.1776,0.1702,2.1949,0.0,0.2403,0.0809,0.113,0.0321,0.0655,0.0469,0.0449,0.0,1.0,None,None,None,None,None,None,None,None,None,0.765,0.0,1.0968,1.6293
850372,2017-09-30 00:00:00,CNSESH,2.6697,2.6411,13.8791,0.0,0.3663,0.1923,0.3009,0.1529,0.6217,0.3973,0.393,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.7862,1.2298
850372,2017-12-31 00:00:00,CNSESZ,0.354,0.3338,9.5723,0.0,0.087,0.0369,0.0468,0.0783,0.1322,0.1044,0.0984,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1357,1.3505
850372,2019-12-31 00:00:00,CNSESZ,0.4772,0.4122,10.7336,0.008,0.1079,0.0444,0.061,0.0762,0.2238,0.163,0.1408,0.0843,0.9157,None,None,None,None,None,None,None,None,None,2.0233,0.0,1.1006,0.9461
850372,2020-03-31 00:00:00,CNSESH,0.3666,0.2771,4.2135,0.0,0.1938,0.087,0.123,0.0151,0.0407,0.0287,0.0217,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,10.2965,0.9914
850372,2020-09-30 00:00:00,CNSESZ,0.9152,0.867,16.956,0.0,0.0394,0.0539,0.0703,0.1118,0.2384,0.183,0.1734,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2026,1.5984
850372,2020-06-30 00:00:00,CNSESZ,0.4997,0.4462,9.2662,0.0,0.0737,0.0539,0.0457,0.0717,0.1128,0.133,0.1188,0.0,1.0,None,None,None,None,None,None,None,None,None,0.835,0.0,1.1312,2.1065
850372,2020-12-31 00:00:00,CNSESZ,0.4873,0.5331,9.7873,0.0,0.1118,0.0497,0.0675,0.0823,0.2028,0.1495,0.1635,0.0,1.0,None,None,None,None,None,None,None,None,None,1.325,0.0,0.8968,1.5545
850372,2021-03-31 00:00:00,CNSESH,1.7785,1.7092,8.5707,0.0,0.3099,0.2075,0.2537,0.0509,0.1501,0.1228,0.118,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,13.2209,0.9706
850372,2021-06-30 00:00:00,CNSESH,3.6254,3.5338,18.5016,0.0,0.2991,0.1959,0.2425,0.0962,0.3091,0.2498,0.2434,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,13.9544,0.9776
850372,2021-09-30 00:00:00,CNSESZ,0.237,0.1969,5.2842,0.0,0.0941,0.0448,0.0598,0.0479,0.0963,0.0721,0.0599,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0704,1.3169
850372,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
