指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850382,2018-09-30 00:00:00,CNSESZ,0.3623,0.1868,3.1233,0.0,0.2589,0.116,0.171,0.0503,0.1361,0.0923,0.0476,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2805,2.0195
850382,2018-03-31 00:00:00,CNSESZ,0.1052,0.0812,0.987,0.0,0.31,0.1066,0.1933,0.0195,0.0525,0.029,0.0223,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2003,1.7089
850382,2018-06-30 00:00:00,CNSESZ,0.3225,0.1394,2.0304,0.0,0.2716,0.1588,0.2309,0.045,0.124,0.0853,0.0369,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.274,1.6905
850382,2017-06-30 00:00:00,CNSESZ,0.2573,0.1539,1.9185,0.0,0.2568,0.1341,0.1876,0.0454,0.1109,0.0792,0.0474,0.0,1.0,None,None,None,None,None,None,None,None,None,1.1333,0.0,1.0934,1.5224
850382,2017-03-31 00:00:00,CNSESZ,0.1634,0.0697,0.8725,0.0,0.2638,0.1872,0.2484,0.0275,0.0648,0.0488,0.0208,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0356,1.5532
850382,2018-12-31 00:00:00,CNSESZ,0.3364,0.0991,4.732,0.06,0.2536,0.0711,0.119,0.0527,0.1411,0.0843,0.0248,0.1439,0.8561,None,None,None,None,None,None,None,None,None,0.0,0.0,1.172,1.9583
850382,2019-03-31 00:00:00,CNSESZ,0.0991,0.0456,1.07,0.0,0.2607,0.0926,0.157,0.0143,0.0409,0.0241,0.0111,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2709,1.959
850382,2019-09-30 00:00:00,CNSESZ,0.2685,0.2119,3.5788,0.0,0.243,0.075,0.1143,0.0361,0.0951,0.0624,0.0493,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2247,2.0482
850382,2019-06-30 00:00:00,CNSESZ,0.155,0.1288,2.4243,0.0,0.2405,0.0639,0.1014,0.0226,0.0597,0.0376,0.0312,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2425,1.9597
850382,2017-12-31 00:00:00,CNSESZ,0.3073,0.1569,4.3569,0.0,0.2412,0.0705,0.1157,0.057,0.1459,0.0889,0.0454,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0954,1.7044
850382,2017-09-30 00:00:00,CNSESH,0.3825,0.3724,4.7464,0.0,0.1907,0.0805,0.1049,0.0664,0.0989,0.0759,0.0739,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3771,2.5313
850382,2019-12-31 00:00:00,CNSESZ,-0.1168,-0.3072,4.6858,0.0,0.232,-0.0249,0.0157,0.0028,0.0178,-0.0282,-0.0742,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.819,2.1694
850382,2020-03-31 00:00:00,CNSESH,0.0659,0.0469,1.3084,0.0,0.1424,0.0503,0.0511,0.0077,0.0119,0.0118,0.0084,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4999,2.039
850382,2020-09-30 00:00:00,CNSESZ,0.1765,0.0738,3.439,0.0,0.2178,0.0513,0.1023,0.0291,0.0843,0.0423,0.0177,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.961,1.9515
850382,2020-06-30 00:00:00,CNSESZ,0.1495,0.0654,2.1304,0.0,0.226,0.0702,0.1257,0.0229,0.0666,0.0371,0.0162,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9352,1.946
850382,2020-12-31 00:00:00,CNSESZ,0.1616,-0.0235,4.8959,0.0,0.1961,0.033,0.0647,0.0321,0.0777,0.0396,-0.0057,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9379,1.9647
850382,2021-06-30 00:00:00,CNSESH,0.1824,0.1709,3.1383,0.0,0.1757,0.0581,0.0728,0.0246,0.0413,0.033,0.0309,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4916,1.8824
850382,2021-03-31 00:00:00,CNSESH,0.0695,0.0678,1.4328,0.0,0.1755,0.0485,0.0608,0.009,0.0157,0.0126,0.0123,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5504,1.921
850382,2021-09-30 00:00:00,CNSESZ,0.6663,0.6741,5.1841,0.0,0.2918,0.1285,0.1759,0.0694,0.2013,0.147,0.1487,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4405,2.6247
850382,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
