指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850383,2018-09-30 00:00:00,CNSESZ,0.2159,0.1922,3.2692,0.0,0.245,0.066,0.0804,0.0334,0.0511,0.042,0.0374,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1269,2.1232
850383,2017-09-30 00:00:00,CNSESH,0.2442,0.2406,12.1968,0.0,0.1557,0.02,0.0923,0.031,0.1737,0.0376,0.0371,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7853,2.8017
850383,2018-03-31 00:00:00,CNSESZ,0.0246,0.0146,0.7964,0.0,0.2265,0.0309,0.0655,0.0071,0.011,0.0052,0.0031,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.074,2.0796
850383,2017-03-31 00:00:00,CNSESZ,0.0864,0.0704,0.8902,0.0,0.2699,0.097,0.1116,0.0237,0.0328,0.0285,0.0233,0.0,1.0,None,None,None,None,None,None,None,None,None,2.145,0.0,2.0165,1.6606
850383,2018-12-31 00:00:00,CNSESZ,0.2823,0.259,4.5077,0.0261,0.2441,0.0626,0.0833,0.0442,0.0725,0.0545,0.05,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1879,2.0997
850383,2019-03-31 00:00:00,CNSESZ,0.0343,0.0273,1.0851,0.0,0.2424,0.0316,0.0592,0.0071,0.0121,0.0065,0.0051,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1888,2.3545
850383,2019-09-30 00:00:00,CNSESZ,0.3941,0.4044,4.2493,0.0,0.2768,0.0927,0.1191,0.0529,0.0926,0.0721,0.0739,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2816,2.2364
850383,2019-06-30 00:00:00,CNSESZ,0.1824,0.1903,2.6117,0.0,0.2654,0.0698,0.0967,0.0279,0.048,0.0347,0.0362,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0719,2.3229
850383,2017-06-30 00:00:00,CNSESH,0.1104,0.1005,7.9554,0.0,0.1446,0.0138,0.0838,0.0188,0.1085,0.0179,0.0163,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6599,2.7634
850383,2017-12-31 00:00:00,CNSESZ,0.3932,0.3538,4.0204,0.0,0.2741,0.0977,0.1244,0.0668,0.1036,0.0814,0.0733,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1052,1.9313
850383,2018-06-30 00:00:00,CNSESZ,0.1133,0.0911,1.9707,0.0,0.228,0.0575,0.0696,0.019,0.0286,0.0236,0.019,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.033,2.1069
850383,2020-03-31 00:00:00,CNSESH,0.0188,0.0118,2.6914,0.0,0.1012,0.0069,0.042,0.0055,0.0199,0.0033,0.002,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5105,3.1267
850383,2019-12-31 00:00:00,CNSESZ,0.4983,0.5,5.6583,0.0,0.2724,0.088,0.1152,0.0691,0.1194,0.0912,0.0916,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3471,2.2882
850383,2020-06-30 00:00:00,CNSESZ,0.2182,0.2016,2.4847,0.0,0.2577,0.0878,0.1183,0.0309,0.0559,0.0415,0.0383,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1634,2.119
850383,2020-09-30 00:00:00,CNSESZ,0.3117,0.2644,3.3566,0.0,0.2561,0.0928,0.1218,0.0424,0.075,0.0572,0.0485,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.997,3.1629
850383,2020-12-31 00:00:00,CNSESZ,0.2973,0.2323,4.5663,0.0,0.1878,0.0651,0.0899,0.0421,0.0736,0.0533,0.0416,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.978,3.1723
850383,2021-06-30 00:00:00,CNSESZ,0.2319,0.2056,2.641,0.0,0.2149,0.0878,0.1193,0.028,0.0554,0.0408,0.0361,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1825,3.1805
850383,2021-03-31 00:00:00,CNSESZ,0.0462,0.0297,1.0101,0.0,0.1889,0.0457,0.0744,0.0066,0.0133,0.0082,0.0052,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0216,3.1762
850383,2021-09-30 00:00:00,CNSESZ,0.4977,0.4659,4.3251,0.0,0.2536,0.115,0.1573,0.0501,0.1003,0.0733,0.0686,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4117,3.3622
850383,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
