指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850411,2018-09-30 00:00:00,CNSESZ,0.7462,0.7,10.5093,0.0,0.1573,0.071,0.1173,0.0594,0.2442,0.1478,0.1386,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9237,3.0423
850411,2017-09-30 00:00:00,CNSESZ,0.4364,0.4412,9.3775,0.0,0.1187,0.0465,0.0808,0.0397,0.1704,0.0981,0.0991,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3587,2.8982
850411,2018-03-31 00:00:00,CNSESZ,0.1732,0.1753,3.0253,0.0,0.133,0.0572,0.0946,0.0144,0.0607,0.0367,0.0372,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6908,2.9268
850411,2017-03-31 00:00:00,CNSESZ,0.0979,0.0969,3.0755,0.0,0.0973,0.0318,0.0608,0.0109,0.0446,0.0233,0.0231,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0693,2.8981
850411,2018-12-31 00:00:00,CNSESZ,0.8853,0.8394,14.1065,0.0,0.1519,0.0627,0.1054,0.0704,0.2861,0.1703,0.1614,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8975,0.0,1.0473,3.0562
850411,2019-03-31 00:00:00,CNSESZ,0.1079,0.1065,3.4196,0.0,0.1039,0.0315,0.0624,0.0096,0.0395,0.0199,0.0197,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1552,3.0562
850411,2019-06-30 00:00:00,CNSESZ,0.2432,0.2377,6.45,0.0,0.112,0.0377,0.0718,0.0229,0.0933,0.049,0.0479,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0327,2.6538
850411,2019-09-30 00:00:00,CNSESZ,0.3322,0.3257,10.1279,0.0,0.1034,0.0328,0.0646,0.0317,0.128,0.0649,0.0637,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1007,2.6492
850411,2017-06-30 00:00:00,CNSESH,0.1025,0.0958,3.3156,0.0,0.0904,0.0309,0.055,0.0215,0.0763,0.0428,0.04,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3176,0.915
850411,2017-12-31 00:00:00,CNSESZ,0.619,0.6144,12.4148,0.0,0.1278,0.0498,0.0853,0.0536,0.232,0.1355,0.1345,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8637,0.0,0.5278,2.898
850411,2018-06-30 00:00:00,CNSESZ,0.4481,0.4258,6.601,0.0,0.1527,0.0678,0.1133,0.0364,0.1549,0.0928,0.0882,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8606,2.9405
850411,2019-12-31 00:00:00,CNSESZ,0.3969,0.3811,12.9389,0.0577,0.1079,0.0306,0.0609,0.0405,0.1561,0.0785,0.0754,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1104,2.6392
850411,2020-03-31 00:00:00,CNSESH,0.0175,0.017,1.4374,0.0,0.0785,0.0121,0.0336,0.0044,0.0147,0.0053,0.0052,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8979,0.9849
850411,2020-06-30 00:00:00,CNSESZ,0.1779,0.1707,5.8914,0.0,0.1127,0.0302,0.0596,0.0189,0.0683,0.0345,0.0331,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2814,2.6037
850411,2020-09-30 00:00:00,CNSESZ,0.3035,0.294,9.3608,0.0,0.1102,0.0324,0.0614,0.0294,0.1097,0.0578,0.056,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3906,2.6069
850411,2020-12-31 00:00:00,CNSESZ,0.418,0.4096,13.0518,0.1084,0.1035,0.032,0.06,0.0392,0.1447,0.0772,0.0757,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4836,2.6051
850411,2021-06-30 00:00:00,CNSESH,0.3183,0.3136,4.8251,0.0,0.1327,0.0659,0.097,0.0431,0.1372,0.0933,0.0919,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1868,1.0033
850411,2021-03-31 00:00:00,CNSESZ,0.171,0.1692,4.158,0.0,0.1047,0.0411,0.0702,0.014,0.0528,0.0309,0.0305,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.652,2.6044
850411,2021-09-30 00:00:00,CNSESZ,0.7331,0.7305,13.9679,0.0,0.1092,0.0524,0.0818,0.0559,0.2055,0.1319,0.1314,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9759,2.6672
850411,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
