指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850523,2018-09-30 00:00:00,CNSESZ,0.1683,0.1284,1.8775,0.0,0.3297,0.0896,0.1343,0.0453,0.1049,0.07,0.0534,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1625,0.2379
850523,2017-09-30 00:00:00,CNSESZ,0.1198,0.107,1.3739,0.0,0.3121,0.0872,0.1471,0.0445,0.1035,0.0613,0.0547,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9871,0.1943
850523,2018-03-31 00:00:00,CNSESZ,0.0321,0.0207,0.4453,0.0,0.3122,0.0721,0.1403,0.0129,0.0272,0.014,0.009,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0608,0.236
850523,2017-12-31 00:00:00,CNSESZ,0.1855,0.1474,2.0012,0.0,0.3151,0.0927,0.147,0.0615,0.1296,0.0817,0.0649,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0286,0.2337
850523,2017-06-30 00:00:00,CNSESH,0.3267,0.1734,2.1664,0.0,0.2876,0.1508,0.2081,0.0598,0.1224,0.0887,0.047,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4579,1.4297
850523,2018-06-30 00:00:00,CNSESZ,0.1124,0.0777,1.0499,0.0,0.324,0.1071,0.1597,0.03,0.0721,0.0483,0.0334,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0962,0.2324
850523,2017-03-31 00:00:00,CNSESZ,0.035,0.0285,0.6968,0.0,0.2941,0.0502,0.0972,0.0094,0.0189,0.0097,0.0079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7583,1.2175
850523,2018-12-31 00:00:00,CNSESZ,0.1163,0.1573,2.7199,0.0,0.3355,0.0427,0.0795,0.0423,0.0926,0.0498,0.0673,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.092,0.2316
850523,2019-03-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
850523,2019-09-30 00:00:00,CNSESZ,None,None,None,None,0.0,0.2702,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
850523,2019-06-30 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
850523,2020-03-31 00:00:00,CNSESH,0.1633,0.1577,1.6284,0.0,0.2358,0.1003,0.1407,0.0153,0.0342,0.0243,0.0235,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.7853,1.8463
850523,2019-12-31 00:00:00,CNSESZ,1.5635,1.451,10.1299,0.0,0.4044,0.1543,0.1734,0.1112,0.165,0.1468,0.1362,0.0,1.0,None,None,None,None,None,None,None,None,None,11.095,0.0,7.4685,2.5849
850523,2020-06-30 00:00:00,CNSESZ,None,None,None,None,0.4248,0.2615,0.313,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
850523,2020-09-30 00:00:00,CNSESZ,None,None,None,None,0.3105,0.1619,0.1324,0.3949,0.5227,0.6387,0.189,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
850523,2020-12-31 00:00:00,CNSESZ,1.801,1.6743,11.1336,0.0,0.3782,0.1617,0.1911,0.105,0.1712,0.1449,0.1347,0.0,1.0,None,None,None,None,None,None,None,None,None,12.86,0.0,9.2443,2.5849
850523,2021-06-30 00:00:00,CNSESZ,2.3851,0.0,4.8191,0.0,0.647,0.4949,0.5853,0.2103,0.4621,0.3907,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,8.0065,2.7196
850523,2021-03-31 00:00:00,CNSESZ,None,None,None,None,0.178,0.196,0.2246,0.0734,0.145,0.1265,0.1187,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
850523,2021-09-30 00:00:00,CNSESZ,2.6679,2.5931,5.6994,0.0,0.6269,0.4681,0.5505,0.1579,0.2923,0.2485,0.2416,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,6.8839,6.3238
850523,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
