指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850544,2017-09-30 00:00:00,CNSESH,0.3012,0.3234,5.4335,0.0,0.1668,0.0554,0.1251,0.0422,0.1342,0.0594,0.0638,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9076,4.0561
850544,2018-03-31 00:00:00,CNSESZ,0.1248,0.1222,3.0809,0.0,0.114,0.0405,0.086,0.0168,0.0617,0.029,0.0284,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5862,3.1639
850544,2018-09-30 00:00:00,CNSESZ,0.376,0.36,9.6138,0.0,0.1038,0.0391,0.0783,0.0515,0.1654,0.0825,0.079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7761,2.8167
850544,2017-03-31 00:00:00,CNSESZ,0.0685,0.0679,2.9745,0.0,0.0988,0.023,0.0608,0.0119,0.0459,0.0174,0.0172,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2531,2.7945
850544,2018-12-31 00:00:00,CNSESZ,0.3952,0.3216,12.3273,0.0,0.1057,0.032,0.0715,0.0586,0.1908,0.0855,0.0695,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7871,2.8412
850544,2019-06-30 00:00:00,CNSESH,0.1442,0.1338,7.2991,0.0,0.0647,0.0197,0.038,0.0239,0.0665,0.0345,0.032,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5,0.0,0.3377,3.0858
850544,2019-03-31 00:00:00,CNSESZ,0.0826,0.0772,2.2689,0.0,0.1243,0.0364,0.0737,0.0135,0.0403,0.0199,0.0186,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4326,2.8767
850544,2019-09-30 00:00:00,CNSESZ,0.3413,0.1859,8.4283,0.0,0.1069,0.0405,0.072,0.045,0.1362,0.0765,0.0417,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6045,2.9364
850544,2017-12-31 00:00:00,CNSESZ,0.3533,0.3911,12.3486,0.0,0.1055,0.0286,0.0668,0.0518,0.194,0.083,0.0919,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4992,3.2378
850544,2017-06-30 00:00:00,CNSESZ,0.1687,0.1607,6.4159,0.0,0.0884,0.0262,0.0597,0.0263,0.0978,0.043,0.041,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3401,2.8382
850544,2018-06-30 00:00:00,CNSESZ,0.2805,0.2763,6.867,0.0,0.1094,0.0408,0.0829,0.0358,0.1239,0.061,0.0601,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7326,3.1827
850544,2019-12-31 00:00:00,CNSESZ,0.4303,0.2859,9.961,0.0,0.1173,0.0432,0.0748,0.0587,0.1616,0.0933,0.062,0.0,1.0,None,None,None,None,None,None,None,None,None,1.169,0.0,0.9891,2.6905
850544,2020-03-31 00:00:00,CNSESH,0.1293,0.1235,4.0997,0.0,0.0783,0.0315,0.0534,0.0154,0.0431,0.0254,0.0243,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5577,3.424
850544,2020-12-31 00:00:00,CNSESZ,0.3182,0.1557,9.8285,0.0164,0.1099,0.0323,0.0589,0.0454,0.121,0.0664,0.0325,0.1134,0.8866,None,None,None,None,None,None,None,None,None,0.661,0.0,1.1641,2.8511
850544,2020-09-30 00:00:00,CNSESZ,0.2372,0.2056,7.9036,0.0,0.0955,0.03,0.0557,0.0347,0.0961,0.0517,0.0448,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0959,2.7147
850544,2020-06-30 00:00:00,CNSESZ,0.1305,0.1031,4.9132,0.0,0.0941,0.0265,0.0533,0.0205,0.0589,0.0293,0.0232,0.0,1.0,None,None,None,None,None,None,None,None,None,0.573,0.0,1.0421,2.6991
850544,2021-03-31 00:00:00,CNSESZ,0.1588,0.1476,2.9809,0.0,0.1127,0.0532,0.0766,0.0174,0.0475,0.033,0.0307,0.0,1.0,None,None,None,None,None,None,None,None,None,1.189,0.0,1.3084,2.854
850544,2021-09-30 00:00:00,CNSESZ,0.6624,0.6416,9.3933,0.0,0.1364,0.0705,0.096,0.0681,0.1733,0.1272,0.1232,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6667,2.9317
850544,2021-06-30 00:00:00,CNSESH,0.3378,0.3219,10.5397,0.0,0.0737,0.032,0.0478,0.0369,0.0971,0.0651,0.062,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7984,3.9161
850544,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
