指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850621,2018-09-30 00:00:00,CNSESZ,0.255,0.21,4.0805,0.0,0.2254,0.0625,0.1519,0.0291,0.1585,0.0651,0.0536,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4719,1.4382
850621,2017-09-30 00:00:00,CNSESH,0.4492,0.4273,15.9372,0.0,0.0913,0.0281,0.051,0.0193,0.1453,0.0803,0.0764,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.7689,1.393
850621,2017-12-31 00:00:00,CNSESZ,0.3806,0.3546,5.7277,0.001,0.2392,0.0664,0.1593,0.044,0.2373,0.099,0.0922,0.0075,0.9925,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3564,1.5588
850621,2018-03-31 00:00:00,CNSESH,0.1345,0.1282,5.1688,0.0,0.0918,0.026,0.0514,0.006,0.0444,0.0224,0.0214,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.0609,1.3909
850621,2018-12-31 00:00:00,CNSESZ,0.2762,0.1997,5.9513,0.0,0.2215,0.0464,0.1323,0.0366,0.1968,0.069,0.0499,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4766,1.4494
850621,2019-03-31 00:00:00,CNSESZ,0.0551,0.0185,1.1232,0.0,0.2254,0.049,0.1894,0.0092,0.0529,0.0137,0.0046,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5522,1.4511
850621,2019-06-30 00:00:00,CNSESZ,0.0981,0.0591,2.5312,0.0,0.2178,0.0387,0.1523,0.0164,0.0943,0.024,0.0144,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5397,1.4518
850621,2019-09-30 00:00:00,CNSESZ,0.1507,0.0968,3.8603,0.0,0.2173,0.039,0.1479,0.0239,0.1361,0.0359,0.023,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5916,1.4426
850621,2017-03-31 00:00:00,CNSESZ,0.0368,0.0324,1.0852,0.0,0.1942,0.0339,0.1209,0.0071,0.0367,0.0103,0.009,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1477,1.564
850621,2017-06-30 00:00:00,CNSESH,0.3074,0.2918,10.5491,0.0,0.0937,0.0291,0.054,0.0136,0.1046,0.0564,0.0536,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.6658,1.3981
850621,2018-06-30 00:00:00,CNSESZ,0.1646,0.1517,2.6172,0.0,0.234,0.0628,0.1579,0.0196,0.1092,0.0434,0.04,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3821,1.4412
850621,2019-12-31 00:00:00,CNSESH,0.746,0.3889,26.9052,0.0182,0.1005,0.0277,0.0516,0.0263,0.2089,0.1121,0.0584,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4938,0.0,3.5962,1.2853
850621,2020-03-31 00:00:00,CNSESH,0.125,0.1215,4.8839,0.0,0.0944,0.0256,0.0493,0.0047,0.036,0.0187,0.0181,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2411,0.0,3.706,1.2822
850621,2020-09-30 00:00:00,CNSESZ,-0.0662,-0.071,3.6791,0.0,0.1887,-0.0179,0.0636,0.0118,0.0561,-0.0158,-0.017,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.401,1.4461
850621,2020-06-30 00:00:00,CNSESZ,-0.0825,-0.0928,2.2746,0.0,0.1942,-0.0363,0.0438,0.0055,0.0239,-0.0198,-0.0222,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.402,1.4582
850621,2020-12-31 00:00:00,CNSESZ,-0.2301,-0.2514,5.5346,0.0027,0.1712,-0.0415,0.0255,0.01,0.035,-0.057,-0.0623,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1986,1.4517
850621,2021-06-30 00:00:00,CNSESH,0.4457,0.4138,16.6981,0.0,0.0936,0.0266,0.049,0.013,0.1082,0.0589,0.0546,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2807,0.0,4.3267,1.284
850621,2021-03-31 00:00:00,CNSESZ,-0.0065,-0.0122,1.1182,0.0,0.1729,-0.0058,0.087,0.0046,0.0243,-0.0016,-0.003,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1714,1.462
850621,2021-09-30 00:00:00,CNSESH,0.6651,0.6054,24.6394,0.0,0.0943,0.0269,0.0487,0.0193,0.1543,0.0855,0.0778,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2923,0.0,4.5137,1.3289
850621,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
