指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850722,2018-09-30 00:00:00,CNSESZ,0.2067,0.177,4.0595,0.0,0.2089,0.0509,0.0762,0.0277,0.0738,0.0493,0.0422,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6016,1.3852
850722,2017-09-30 00:00:00,CNSESH,0.2519,0.1953,4.4182,0.0,0.2406,0.057,0.1015,0.0437,0.1313,0.0737,0.0572,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4468,0.9432
850722,2018-03-31 00:00:00,CNSESZ,0.072,0.0644,1.344,0.0,0.2056,0.0536,0.0832,0.0098,0.0269,0.0173,0.0155,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.65,1.355
850722,2017-03-31 00:00:00,CNSESZ,0.0266,0.0221,0.8968,0.0,0.2163,0.0297,0.0643,0.0056,0.014,0.0064,0.0053,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5686,1.2861
850722,2017-06-30 00:00:00,CNSESH,0.174,0.1315,3.0168,0.0,0.2382,0.0576,0.1029,0.0294,0.0886,0.0497,0.0375,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4056,0.9383
850722,2018-06-30 00:00:00,CNSESZ,0.1578,0.1391,3.0047,0.0,0.2041,0.0525,0.0794,0.0205,0.0575,0.038,0.0335,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6189,1.3529
850722,2018-12-31 00:00:00,CNSESZ,0.2713,0.2247,5.3208,0.0,0.2066,0.0509,0.0764,0.0362,0.0965,0.0643,0.0533,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.612,1.3496
850722,2019-03-31 00:00:00,CNSESZ,0.1316,0.1156,1.6363,0.0,0.2144,0.0804,0.1086,0.0154,0.0411,0.0304,0.0267,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8039,1.2934
850722,2019-09-30 00:00:00,CNSESZ,0.4054,0.2073,5.0907,0.0,0.2275,0.0796,0.1042,0.0428,0.1203,0.0919,0.047,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9281,1.2943
850722,2019-06-30 00:00:00,CNSESZ,0.3018,0.2704,3.6267,0.0,0.2252,0.0832,0.1078,0.0316,0.0918,0.0708,0.0634,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8275,1.2925
850722,2017-12-31 00:00:00,CNSESZ,0.157,-0.3656,3.9931,0.0,0.1993,0.0393,0.072,0.0292,0.0701,0.0383,-0.0891,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5785,1.3586
850722,2020-03-31 00:00:00,CNSESH,0.1762,0.1517,1.8162,0.0,0.2485,0.097,0.1364,0.0199,0.0542,0.0386,0.0332,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4845,1.2956
850722,2019-12-31 00:00:00,CNSESZ,0.4921,0.4283,6.9406,0.0352,0.2237,0.0709,0.0934,0.0518,0.1424,0.1081,0.094,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4683,0.0,2.0119,1.2965
850722,2020-06-30 00:00:00,CNSESZ,0.3688,0.3323,4.2604,0.0,0.2226,0.0865,0.1105,0.0331,0.0991,0.0776,0.0699,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6166,1.5133,2.3316,1.2683
850722,2020-09-30 00:00:00,CNSESZ,0.4982,0.4459,6.4127,0.0,0.22,0.0776,0.0998,0.0453,0.1333,0.1037,0.0928,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4395,1.2766
850722,2020-12-31 00:00:00,CNSESZ,0.6655,0.5871,9.1008,0.2739,0.2163,0.0731,0.0942,0.0592,0.1744,0.1353,0.1194,0.1532,0.8468,None,None,None,None,None,None,None,None,None,1.615,0.0,2.4878,1.2985
850722,2021-06-30 00:00:00,CNSESZ,0.4896,0.4607,5.9451,0.0,0.1908,0.0823,0.0971,0.0359,0.1112,0.0943,0.0887,0.0,1.0,None,None,None,None,None,None,None,None,None,1.6666,0.0,2.6565,1.5417
850722,2021-03-31 00:00:00,CNSESZ,0.2443,0.2262,2.8455,0.0,0.2012,0.0858,0.106,0.0195,0.0598,0.0484,0.0448,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.6176,1.5243
850722,2021-09-30 00:00:00,CNSESH,0.9975,0.8966,9.0035,0.0,0.2426,0.1107,0.132,0.0743,0.202,0.1695,0.1523,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.8342,1.3139
850722,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
