指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850725,2018-09-30 00:00:00,CNSESZ,0.1096,0.0943,2.0877,0.0,0.2123,0.0525,0.097,0.0232,0.0642,0.0347,0.0299,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.746,1.4025
850725,2018-03-31 00:00:00,CNSESZ,0.0037,-0.0011,0.5922,0.0,0.2024,0.0063,0.0706,0.0046,0.0116,0.001,-0.0003,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7937,1.712
850725,2017-12-31 00:00:00,CNSESZ,0.1158,0.041,3.273,0.0,0.1851,0.0354,0.0713,0.0279,0.065,0.0322,0.0114,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.79,1.7137
850725,2018-06-30 00:00:00,CNSESZ,0.0659,0.0543,1.4367,0.0,0.1984,0.0458,0.0909,0.0146,0.039,0.0196,0.0162,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7528,1.5876
850725,2017-03-31 00:00:00,CNSESZ,-0.0035,-0.0147,0.6989,0.0,0.1098,-0.005,0.0138,0.0024,0.0027,-0.0009,-0.0041,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7119,1.6645
850725,2018-12-31 00:00:00,CNSESZ,0.1339,0.1074,3.0343,0.0,0.2255,0.0441,0.0822,0.0275,0.0777,0.0416,0.0334,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7607,1.4032
850725,2019-03-31 00:00:00,CNSESZ,0.0236,0.0148,0.6744,0.0,0.1869,0.035,0.0731,0.0058,0.0158,0.0076,0.0047,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7164,1.3422
850725,2019-06-30 00:00:00,CNSESZ,0.0806,0.0656,1.4892,0.0,0.2073,0.0541,0.0889,0.0148,0.0417,0.0254,0.0207,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2,0.0,0.7359,1.3562
850725,2019-09-30 00:00:00,CNSESZ,0.1273,0.0988,2.3297,0.0,0.2133,0.0546,0.0856,0.0218,0.063,0.0402,0.0312,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7651,1.3105
850725,2017-09-30 00:00:00,CNSESZ,0.06,0.0226,2.3506,0.0,0.1506,0.0255,0.0505,0.0188,0.033,0.0167,0.0062,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7494,1.6829
850725,2017-06-30 00:00:00,CNSESH,0.0374,0.0316,0.9328,0.0,0.2504,0.0401,0.0915,0.0111,0.0319,0.014,0.0118,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4008,1.0578
850725,2019-12-31 00:00:00,CNSESZ,0.0401,0.0527,3.5322,0.0009,0.2301,0.0113,0.0419,0.0138,0.0461,0.0125,0.0164,0.0,1.0,None,None,None,None,None,None,None,None,None,1.3052,0.0,0.7309,1.3232
850725,2020-06-30 00:00:00,CNSESZ,0.0137,0.0038,1.3645,0.0,0.2252,0.01,0.0436,0.0061,0.0189,0.0043,0.0012,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3804,0.3947,0.6696,1.3715
850725,2020-03-31 00:00:00,CNSESH,0.0119,0.0163,0.8464,0.0,0.1949,0.0141,0.0545,0.0038,0.0155,0.004,0.0055,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5344,1.0451
850725,2020-09-30 00:00:00,CNSESZ,0.0432,0.0246,2.3071,0.0,0.2154,0.0187,0.0561,0.0136,0.0411,0.0137,0.0078,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6663,1.3831
850725,2020-12-31 00:00:00,CNSESZ,0.0946,0.0308,3.349,0.0014,0.2161,0.0282,0.0582,0.0229,0.0603,0.0293,0.0095,0.0357,0.9643,None,None,None,None,None,None,None,None,None,0.6547,0.0,0.7446,1.3995
850725,2021-06-30 00:00:00,CNSESZ,0.1018,0.0838,1.6645,0.0,0.2289,0.0611,0.0956,0.0163,0.0487,0.0312,0.0256,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4545,0.0,0.813,1.4019
850725,2021-03-31 00:00:00,CNSESZ,0.0361,0.0292,0.7015,0.0,0.2244,0.0515,0.0849,0.0062,0.0186,0.0113,0.0091,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7433,1.3977
850725,2021-09-30 00:00:00,CNSESZ,0.1378,0.1105,2.4321,0.0,0.2307,0.0566,0.0879,0.0221,0.0653,0.042,0.0337,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8145,1.4456
850725,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
