指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850931,2017-12-31 00:00:00,CNSESZ,0.2221,0.1776,4.8409,0.0,0.1855,0.0458,0.0812,0.0489,0.104,0.0587,0.0469,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2955,1.194
850931,2018-03-31 00:00:00,CNSESZ,0.0501,0.0397,1.3188,0.0,0.1747,0.038,0.0902,0.0137,0.0304,0.0128,0.0101,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3457,1.1948
850931,2017-06-30 00:00:00,CNSESZ,0.1341,0.1197,2.4097,0.0,0.1865,0.0556,0.083,0.0256,0.0549,0.0368,0.0328,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2276,1.1779
850931,2018-06-30 00:00:00,CNSESZ,0.1479,0.142,3.0439,0.0,0.1765,0.0486,0.0689,0.0219,0.0537,0.0378,0.0363,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.422,1.1948
850931,2017-03-31 00:00:00,CNSESZ,0.0623,0.061,1.1717,0.0,0.1794,0.0532,0.0837,0.012,0.0263,0.0167,0.0164,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2056,1.1779
850931,2017-09-30 00:00:00,CNSESZ,0.171,0.1507,3.5703,0.0,0.1876,0.0478,0.0815,0.036,0.0793,0.0465,0.041,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2644,1.1776
850931,2018-12-31 00:00:00,CNSESZ,0.2736,0.2523,5.553,0.0,0.1891,0.0492,0.0626,0.0388,0.0867,0.0682,0.0629,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.538,1.1928
850931,2018-09-30 00:00:00,CNSESH,0.1516,0.1288,2.9254,0.0,0.1687,0.0518,0.0652,0.0302,0.0867,0.0689,0.0586,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6775,0.1626
850931,2019-03-31 00:00:00,CNSESZ,0.0544,0.0385,1.3558,0.0,0.1781,0.0401,0.0822,0.0123,0.0274,0.0134,0.0094,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5992,1.1928
850931,2019-06-30 00:00:00,CNSESZ,0.1896,0.1714,2.8164,0.0,0.2043,0.0673,0.0948,0.0265,0.0655,0.0465,0.0421,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5694,1.2018
850931,2019-09-30 00:00:00,CNSESZ,0.399,0.2738,4.3735,0.0,0.2111,0.0912,0.1188,0.051,0.1232,0.0946,0.0649,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7787,1.2017
850931,2019-12-31 00:00:00,CNSESZ,0.4065,0.3016,5.8668,0.3397,0.2051,0.0693,0.0918,0.0555,0.1271,0.0959,0.0712,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7096,1.205
850931,2020-03-31 00:00:00,CNSESH,0.036,0.0277,0.5746,0.0,0.1606,0.0626,0.0567,0.0067,0.0137,0.0151,0.0116,0.0,1.0,None,None,None,None,None,None,None,None,None,1.1433,0.0,1.2544,0.0766
850931,2020-09-30 00:00:00,CNSESZ,0.4768,0.3835,5.0958,0.0,0.213,0.0935,0.1252,0.0643,0.1442,0.1077,0.0866,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8468,1.2077
850931,2020-06-30 00:00:00,CNSESZ,0.2881,0.2432,3.0725,0.0,0.2121,0.0937,0.1135,0.0354,0.0825,0.0681,0.0575,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.658,1.2077
850931,2020-12-31 00:00:00,CNSESZ,0.5174,0.384,7.0329,0.2148,0.1998,0.0735,0.1097,0.0765,0.1737,0.1164,0.0864,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8448,1.2093
850931,2021-03-31 00:00:00,CNSESZ,0.1174,0.0999,1.9361,0.0,0.1603,0.0606,0.0454,0.0136,0.0194,0.0259,0.022,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9623,1.2081
850931,2021-06-30 00:00:00,CNSESZ,0.2667,0.2077,4.2268,0.0,0.1676,0.0631,0.0721,0.0346,0.0686,0.06,0.0467,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8967,1.2116
850931,2021-09-30 00:00:00,CNSESZ,0.4066,0.3373,6.4627,0.0,0.1647,0.0629,0.0737,0.0505,0.1034,0.0883,0.0732,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0366,1.2119
850931,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
