指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
851212,2018-09-30 00:00:00,CNSESZ,-0.8946,-1.013,4.048,0.0,0.0142,-0.221,-0.1408,-0.0595,-0.1945,-0.3054,-0.3458,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-1.9814,2.9761
851212,2017-09-30 00:00:00,CNSESH,0.0704,0.0702,0.3385,0.0,-0.0068,0.2081,0.232,0.0155,0.0173,0.0155,0.0155,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7166,1.3049
851212,2018-03-31 00:00:00,CNSESZ,-0.2506,-0.302,1.0091,0.0,-0.0622,-0.2483,-0.1745,-0.014,-0.0528,-0.0752,-0.0906,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-1.3358,2.9761
851212,2017-03-31 00:00:00,CNSESZ,-0.014,-0.059,1.2235,0.0,0.1282,-0.0115,0.0167,0.0052,0.0056,-0.0038,-0.0163,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.4785,2.9759
851212,2017-06-30 00:00:00,CNSESZ,-0.1208,-0.1771,2.0772,0.0,0.1045,-0.0581,-0.0217,0.0025,-0.0129,-0.0346,-0.0507,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.5852,2.9769
851212,2018-06-30 00:00:00,CNSESZ,-0.695,-0.7812,2.3762,0.0,0.0201,-0.2925,-0.1928,-0.0467,-0.15,-0.2275,-0.2557,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-1.7818,2.9761
851212,2018-12-31 00:00:00,CNSESZ,-1.6493,-1.9779,5.2252,0.0,-0.0549,-0.3156,-0.2253,-0.1245,-0.5062,-0.7091,-0.8504,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-2.7361,2.9761
851212,2019-03-31 00:00:00,CNSESZ,-0.3157,-0.3581,1.2435,0.0,0.0614,-0.2538,-0.1782,-0.0199,-0.1115,-0.1588,-0.1801,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-3.0519,2.8656
851212,2019-06-30 00:00:00,CNSESZ,-0.6169,-0.703,2.4295,0.0,0.0456,-0.2539,-0.1839,-0.0417,-0.2768,-0.3822,-0.4356,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-3.3531,2.8654
851212,2019-09-30 00:00:00,CNSESZ,-0.5912,-0.7417,3.7567,0.0,0.0446,-0.1573,-0.0849,-0.0338,-0.209,-0.3869,-0.4855,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-3.3273,2.8654
851212,2017-12-31 00:00:00,CNSESZ,-0.6207,-0.7393,4.4089,0.0,0.0879,-0.1408,-0.1247,-0.0297,-0.1587,-0.1791,-0.2133,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-1.0852,2.9761
851212,2019-12-31 00:00:00,CNSESZ,0.1695,-0.6769,5.4208,0.0,0.0857,0.0312,0.0781,0.0383,0.2774,0.111,-0.4433,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,-2.5665,2.8667
851212,2020-06-30 00:00:00,CNSESZ,0.0951,0.0772,3.2937,0.0,0.1708,0.0289,0.0984,0.0242,0.2677,0.0785,0.0637,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,-2.4714,2.8667
851212,2020-03-31 00:00:00,CNSESH,-0.0405,-0.0405,0.0224,0.0,-0.0334,-1.8076,-1.808,-0.0094,-0.0104,-0.0104,-0.0104,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7012,1.1928
851212,2020-09-30 00:00:00,CNSESZ,1.0243,0.0878,4.6293,0.0,0.16,0.2212,0.3531,0.1289,0.9675,0.6062,0.052,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,-1.5422,2.8667
851212,2020-12-31 00:00:00,CNSESZ,0.9413,-0.0153,5.2966,0.1144,0.1733,0.1777,0.2836,0.1218,0.7614,0.4771,-0.0077,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,-1.68,2.8789
851212,2021-03-31 00:00:00,CNSESZ,0.0645,0.0216,1.3606,0.0,0.1727,0.0474,0.1169,0.0127,0.0788,0.0319,0.0107,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,-1.6155,2.8789
851212,2021-09-30 00:00:00,CNSESH,0.0182,0.0182,0.0762,0.0,0.0451,0.2387,0.235,0.0047,0.0049,0.005,0.005,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5504,1.1928
851212,2021-06-30 00:00:00,CNSESZ,0.1043,0.0259,2.9647,0.0,0.1268,0.0351,0.09,0.0249,0.132,0.0516,0.0128,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,-1.6888,2.8838
851212,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
