指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
851411,2018-09-30 00:00:00,CNSESZ,0.5027,0.4606,5.2029,0.0,0.269,0.0966,0.1754,0.0539,0.1772,0.0976,0.0894,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8648,1.4616
851411,2017-09-30 00:00:00,CNSESH,0.2941,0.2658,3.6299,0.0,0.1912,0.081,0.1191,0.0553,0.1359,0.0924,0.0834,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6069,1.6111
851411,2018-03-31 00:00:00,CNSESZ,0.196,0.1851,1.9318,0.0,0.2869,0.1014,0.1926,0.0182,0.0618,0.0325,0.0307,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1357,1.9601
851411,2017-03-31 00:00:00,CNSESZ,0.1734,0.1551,1.7173,0.0,0.2703,0.1009,0.1654,0.0162,0.0553,0.0337,0.0302,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6539,2.0264
851411,2018-12-31 00:00:00,CNSESZ,0.5594,0.4858,6.7643,0.0,0.2509,0.0827,0.1503,0.0595,0.192,0.1055,0.0917,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8997,1.4633
851411,2019-06-30 00:00:00,CNSESZ,0.1957,0.154,3.1879,0.0,0.2272,0.0614,0.1209,0.0246,0.0738,0.0375,0.0295,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4763,0.0,1.911,1.4183
851411,2019-03-31 00:00:00,CNSESZ,0.0702,0.0486,1.5543,0.0,0.1956,0.0451,0.1014,0.0102,0.0291,0.0129,0.0089,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9646,1.4639
851411,2019-09-30 00:00:00,CNSESZ,0.3473,0.2873,5.2223,0.0,0.2328,0.0665,0.1263,0.0396,0.1231,0.0648,0.0536,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0754,1.4632
851411,2017-12-31 00:00:00,CNSESZ,0.7813,0.7193,7.6392,0.0,0.2818,0.1022,0.1807,0.0706,0.2369,0.134,0.1234,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9512,1.9564
851411,2017-06-30 00:00:00,CNSESZ,0.3765,0.3545,3.5383,0.0,0.2661,0.1064,0.1636,0.032,0.1133,0.0737,0.0694,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6108,1.933
851411,2018-06-30 00:00:00,CNSESZ,0.3519,0.3204,3.3999,0.0,0.281,0.1035,0.1862,0.0372,0.1267,0.0704,0.0641,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7594,1.4606
851411,2019-12-31 00:00:00,CNSESZ,0.4811,0.3552,6.8676,0.0412,0.2491,0.07,0.1229,0.0556,0.1603,0.0913,0.0674,0.0404,0.9596,None,None,None,None,None,None,None,None,None,1.009,0.0,2.1213,1.394
851411,2020-03-31 00:00:00,CNSESH,0.085,0.0829,1.1939,0.0,0.2099,0.0712,0.1191,0.0126,0.0347,0.0207,0.0202,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4607,1.6285
851411,2020-09-30 00:00:00,CNSESZ,0.3649,0.28,5.0481,0.0,0.2444,0.0722,0.1254,0.0397,0.1184,0.0682,0.0523,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3193,1.4271
851411,2020-06-30 00:00:00,CNSESZ,0.2231,0.1665,3.1479,0.0,0.2537,0.0708,0.1231,0.0252,0.0731,0.0421,0.0314,0.0,1.0,None,None,None,None,None,None,None,None,None,1.0445,0.0,2.2467,1.3963
851411,2020-12-31 00:00:00,CNSESZ,0.4786,0.3856,6.9663,0.0516,0.2216,0.0687,0.1216,0.053,0.1528,0.0863,0.0695,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9154,0.0,2.4164,1.4648
851411,2021-06-30 00:00:00,CNSESZ,0.4868,0.4723,4.1051,0.0,0.2636,0.1185,0.1772,0.0435,0.1302,0.0871,0.0845,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.7572,1.5794
851411,2021-03-31 00:00:00,CNSESH,0.1881,0.1796,1.7093,0.0,0.1985,0.11,0.1465,0.0218,0.0577,0.0433,0.0414,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9002,1.8128
851411,2021-09-30 00:00:00,CNSESZ,0.5707,0.5367,6.1141,0.0,0.2292,0.0933,0.1443,0.0556,0.1624,0.105,0.0987,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.7756,1.6185
851411,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
