指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
851614,2017-09-30 00:00:00,CNSESH,0.2799,0.2454,2.0486,0.0,0.2828,0.1366,0.2092,0.0326,0.1012,0.0661,0.058,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3055,2.5319
851614,2018-09-30 00:00:00,CNSESZ,-0.4331,-0.4429,2.4912,0.0,-0.0942,-0.1738,-0.1643,-0.0262,-0.1538,-0.1627,-0.1664,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2597,0.9802
851614,2017-12-31 00:00:00,CNSESZ,-0.022,-0.2576,4.1072,0.0,0.0918,-0.0053,0.0039,0.0167,0.0058,-0.0078,-0.0921,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7111,0.9801
851614,2018-03-31 00:00:00,CNSESZ,0.0347,0.0321,2.3096,0.0,0.0807,0.015,0.0451,0.0085,0.0353,0.0117,0.0109,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7459,0.9801
851614,2017-06-30 00:00:00,CNSESH,0.2314,0.2043,1.4712,0.0,0.3144,0.1573,0.2455,0.0268,0.0852,0.0546,0.0481,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.29,2.5318
851614,2018-06-30 00:00:00,CNSESZ,-0.2265,-0.2255,2.4059,0.0,-0.0118,-0.0941,-0.0735,-0.0118,-0.0649,-0.0831,-0.0827,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4663,0.9802
851614,2017-03-31 00:00:00,CNSESZ,0.2642,0.2488,2.2929,0.0,0.2104,0.1152,0.1644,0.0366,0.1393,0.0976,0.0919,0.0,1.0,None,None,None,None,None,None,None,None,None,2.425,0.0,1.0534,0.7261
851614,2018-12-31 00:00:00,CNSESZ,0.0742,-0.2651,4.383,0.0,0.0655,0.0169,0.0513,0.0265,0.0747,0.0246,-0.0879,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7572,1.1316
851614,2019-03-31 00:00:00,CNSESZ,0.0329,0.0274,0.9699,0.0,0.1299,0.034,0.0784,0.0082,0.0241,0.0104,0.0087,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5965,1.495
851614,2019-06-30 00:00:00,CNSESZ,0.0814,0.0199,2.3546,0.0,0.1625,0.0345,0.1198,0.0245,0.098,0.0283,0.0069,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5906,1.627
851614,2019-09-30 00:00:00,CNSESZ,0.1262,0.0536,3.5211,0.0,0.1653,0.0358,0.1228,0.037,0.1462,0.0426,0.0181,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6359,1.7019
851614,2019-12-31 00:00:00,CNSESZ,0.2504,0.134,5.3383,0.003,0.1752,0.0469,0.1259,0.0548,0.218,0.0811,0.0434,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9171,0.0,0.6731,1.7575
851614,2020-06-30 00:00:00,CNSESZ,0.1245,0.0652,2.5664,0.0,0.1703,0.0485,0.1336,0.0211,0.0978,0.0355,0.0185,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7243,1.7275
851614,2020-03-31 00:00:00,CNSESH,0.25,0.2366,0.8365,0.0,0.4308,0.2988,0.4022,0.0534,0.121,0.0899,0.0851,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3249,0.5548
851614,2020-09-30 00:00:00,CNSESZ,0.2019,0.1417,3.8624,0.0,0.1856,0.0522,0.1384,0.0314,0.1485,0.056,0.0393,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7479,1.74
851614,2020-12-31 00:00:00,CNSESZ,0.095,0.1412,5.5297,0.0507,0.1885,0.0171,0.1009,0.027,0.1538,0.0261,0.0389,0.0,1.0,None,None,None,None,None,None,None,None,None,1.1,0.0,0.6715,1.7114
851614,2021-06-30 00:00:00,CNSESH,0.2717,0.2747,5.1778,0.0,0.1059,0.0524,0.0735,0.0434,0.1335,0.0953,0.0964,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4244,0.0,1.4547,0.5673
851614,2021-03-31 00:00:00,CNSESZ,0.1643,0.0716,1.5262,0.0,0.2064,0.1076,0.1799,0.0184,0.0749,0.0448,0.0195,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8362,1.7111
851614,2021-09-30 00:00:00,CNSESH,0.3469,0.3479,8.5557,0.0,0.0779,0.0405,0.055,0.0627,0.1696,0.125,0.1253,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4672,0.7455
851614,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
