指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
851811,2018-09-30 00:00:00,CNSESZ,0.4918,0.3945,4.2464,0.0,0.2732,0.1158,0.237,0.0195,0.1978,0.0966,0.0775,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.8065,0.9949
851811,2017-09-30 00:00:00,CNSESH,0.4035,0.3306,4.3827,0.0,0.2134,0.092,0.1704,0.0175,0.1489,0.0804,0.0659,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5839,1.2271
851811,2018-03-31 00:00:00,CNSESZ,0.1401,0.1176,1.0648,0.0,0.2712,0.1316,0.2248,0.006,0.0462,0.027,0.0227,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.8083,1.1074
851811,2017-03-31 00:00:00,CNSESZ,0.0851,0.0771,0.8658,0.0,0.2316,0.0983,0.1881,0.0049,0.0356,0.0186,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2968,0.9898
851811,2018-06-30 00:00:00,CNSESZ,0.3418,0.2683,2.6647,0.0,0.273,0.1283,0.2528,0.0139,0.135,0.0685,0.0538,0.0,1.0,None,None,None,None,None,None,None,None,None,0.197,0.0,2.7087,1.0065
851811,2018-12-31 00:00:00,CNSESZ,0.8375,0.7376,7.5652,0.0,0.2778,0.1107,0.2244,0.0296,0.3062,0.151,0.133,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3083,0.0,3.0288,0.9512
851811,2019-03-31 00:00:00,CNSESZ,0.1195,0.0826,1.2885,0.0,0.2588,0.0927,0.21,0.0044,0.0502,0.0221,0.0153,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.8434,0.8652
851811,2019-06-30 00:00:00,CNSESZ,0.3473,0.3064,3.493,0.0,0.2633,0.0994,0.2118,0.0112,0.1398,0.0656,0.0579,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3097,0.0,2.7447,0.8763
851811,2019-09-30 00:00:00,CNSESZ,0.5217,0.4681,5.5218,0.0,0.2596,0.0944,0.203,0.0163,0.2066,0.0961,0.0862,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.9031,0.8704
851811,2017-06-30 00:00:00,CNSESH,0.2889,0.2326,3.0445,0.0,0.2152,0.0948,0.1773,0.0129,0.1114,0.0596,0.048,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5019,1.2623
851811,2017-12-31 00:00:00,CNSESZ,0.7981,0.6608,6.5796,0.0227,0.2447,0.1213,0.2201,0.0332,0.2875,0.1584,0.1311,0.0256,0.9744,None,None,None,None,None,None,None,None,None,0.26,0.0,2.6463,1.0964
851811,2019-12-31 00:00:00,CNSESZ,0.856,0.7673,9.4666,0.2199,0.2518,0.0904,0.1897,0.0247,0.3152,0.1502,0.1346,0.0,1.0,None,None,None,None,None,None,None,None,None,0.398,0.0,2.942,0.8704
851811,2020-03-31 00:00:00,CNSESH,0.0918,0.0764,1.4637,0.0,0.2031,0.0627,0.1648,0.0037,0.0394,0.015,0.0125,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4929,1.1627
851811,2020-06-30 00:00:00,CNSESZ,0.3016,0.2882,3.6771,0.0,0.2357,0.082,0.1928,0.0093,0.1215,0.0517,0.0494,0.0,1.0,None,None,None,None,None,None,None,None,None,0.366,0.0,2.9788,0.9511
851811,2020-09-30 00:00:00,CNSESZ,0.4475,0.4212,5.8354,0.0,0.2234,0.0766,0.1803,0.0135,0.1762,0.0749,0.0705,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1125,0.9489
851811,2020-12-31 00:00:00,CNSESZ,0.791,0.649,10.3279,0.2705,0.2141,0.0765,0.169,0.0213,0.2768,0.1253,0.1028,0.1745,0.8255,None,None,None,None,None,None,None,None,None,0.42,0.0,3.1441,0.9817
851811,2021-06-30 00:00:00,CNSESH,0.2654,0.2069,5.1676,0.0,0.1553,0.0513,0.1204,0.0082,0.0957,0.0408,0.0318,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.8236,1.1365
851811,2021-03-31 00:00:00,CNSESZ,0.0664,0.0614,1.7266,0.0,0.1944,0.0384,0.1204,0.0027,0.0325,0.0104,0.0096,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2042,0.99
851811,2021-09-30 00:00:00,CNSESZ,0.3376,0.2958,6.8848,0.0,0.1781,0.049,0.1257,0.0102,0.1335,0.052,0.0456,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1763,1.0042
851811,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
