指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
852232,2018-09-30 00:00:00,CNSESZ,0.1584,0.1222,1.4625,0.0,0.419,0.1083,0.1273,0.0358,0.0581,0.0495,0.0381,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9608,1.3568
852232,2017-09-30 00:00:00,CNSESH,0.0845,-0.0166,2.147,0.0,0.3542,0.0393,0.0452,0.0195,0.0302,0.0263,-0.0051,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8798,1.241
852232,2018-03-31 00:00:00,CNSESZ,0.0385,0.026,0.4373,0.0,0.399,0.088,0.1132,0.0091,0.015,0.0116,0.0079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9457,1.4977
852232,2017-12-31 00:00:00,CNSESZ,0.2589,0.2136,2.1298,0.0041,0.4423,0.1215,0.1417,0.058,0.0938,0.0805,0.0664,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9237,1.4767
852232,2017-06-30 00:00:00,CNSESH,0.0234,-0.0107,1.4029,0.0,0.3605,0.0167,0.0221,0.0072,0.01,0.0076,-0.0034,0.0,1.0,None,None,None,None,None,None,None,None,None,0.44,0.0,0.8332,1.0885
852232,2017-03-31 00:00:00,CNSESZ,0.0338,0.0267,0.3255,0.0,0.491,0.104,0.0942,0.008,0.0096,0.0106,0.0083,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8703,1.6499
852232,2018-12-31 00:00:00,CNSESZ,0.1637,0.0681,2.229,0.0004,0.431,0.0734,0.0895,0.0366,0.0605,0.0496,0.0206,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9504,1.3654
852232,2019-03-31 00:00:00,CNSESZ,0.0339,0.0241,0.4713,0.0,0.4133,0.0721,0.1006,0.008,0.0141,0.0101,0.0072,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9752,1.4086
852232,2019-06-30 00:00:00,CNSESZ,0.0783,0.0606,0.9651,0.0,0.414,0.0811,0.1019,0.0187,0.031,0.0247,0.0191,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9306,1.2815
852232,2019-09-30 00:00:00,CNSESZ,0.1184,0.0951,1.4994,0.0,0.4118,0.0789,0.0988,0.0277,0.046,0.0367,0.0295,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9719,1.2861
852232,2018-06-30 00:00:00,CNSESZ,0.1004,0.0746,0.9449,0.0,0.4136,0.1063,0.1239,0.0232,0.0373,0.032,0.0238,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9131,1.3552
852232,2020-03-31 00:00:00,CNSESH,-0.0295,-0.0368,0.4986,0.0,0.3551,-0.0592,-0.0659,-0.0042,-0.0093,-0.0083,-0.0104,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.127,1.227
852232,2019-12-31 00:00:00,CNSESZ,-0.0609,-0.0199,2.2093,0.0,0.4203,-0.0275,-0.0111,-0.0071,-0.0078,-0.0194,-0.0063,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7789,1.303
852232,2020-06-30 00:00:00,CNSESZ,0.0379,0.0225,0.9029,0.0,0.414,0.042,0.0591,0.0099,0.0168,0.0119,0.0071,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7149,1.3607
852232,2020-09-30 00:00:00,CNSESZ,0.0846,0.0634,1.4512,0.0,0.4215,0.0583,0.0792,0.0208,0.036,0.0265,0.0198,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7453,1.3663
852232,2020-12-31 00:00:00,CNSESZ,0.041,-0.028,2.3407,0.0,0.4064,0.0175,0.0388,0.0133,0.0293,0.0132,-0.009,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6741,1.3925
852232,2021-06-30 00:00:00,CNSESZ,0.0468,0.0234,1.0683,0.0,0.3942,0.0438,0.0614,0.0115,0.0209,0.0149,0.0074,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6579,1.4823
852232,2021-03-31 00:00:00,CNSESH,0.0143,-0.0099,0.6607,0.0,0.3469,0.0217,0.0214,0.0025,0.0042,0.0042,-0.0029,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1354,1.1098
852232,2021-09-30 00:00:00,CNSESZ,0.0712,0.0534,1.6225,0.0,0.4027,0.0438,0.0629,0.0175,0.0321,0.0224,0.0168,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6845,1.4975
852232,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
