指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
852233,2018-09-30 00:00:00,CNSESZ,0.1357,0.1034,1.7019,0.0,0.3473,0.0797,0.0936,0.0259,0.0444,0.0378,0.0288,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9895,1.8072
852233,2017-09-30 00:00:00,CNSESZ,0.1531,0.1164,1.4868,0.0,0.3506,0.103,0.1118,0.0309,0.0482,0.0444,0.0337,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9569,1.659
852233,2017-12-31 00:00:00,CNSESZ,0.2152,0.1555,2.4358,0.0,0.3515,0.0883,0.1045,0.0399,0.0711,0.0601,0.0434,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9971,1.7316
852233,2018-03-31 00:00:00,CNSESZ,0.0359,0.0238,0.5384,0.0,0.3295,0.0667,0.0829,0.007,0.012,0.0096,0.0064,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0145,1.8896
852233,2017-06-30 00:00:00,CNSESH,0.2049,0.1752,3.916,0.0,0.2196,0.0523,0.0851,0.0306,0.0943,0.0579,0.0496,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8072,0.7074
852233,2018-06-30 00:00:00,CNSESZ,0.0807,0.0598,1.0985,0.0,0.3403,0.0735,0.0839,0.0154,0.0258,0.0226,0.0167,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9601,1.8212
852233,2018-12-31 00:00:00,CNSESZ,0.0075,-0.06,2.6898,0.0086,0.3289,0.0028,0.0113,0.0032,0.0086,0.0021,-0.017,-2.945,3.945,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8428,1.7585
852233,2019-03-31 00:00:00,CNSESZ,0.0392,0.0189,0.5848,0.0,0.3312,0.067,0.0838,0.0073,0.0133,0.0106,0.0051,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8921,1.7553
852233,2019-06-30 00:00:00,CNSESZ,0.0893,0.0582,1.2154,0.0,0.3453,0.0734,0.0867,0.0159,0.0283,0.024,0.0156,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9033,1.7422
852233,2017-03-31 00:00:00,CNSESZ,0.0492,0.0261,0.46,0.0,0.3404,0.1071,0.0989,0.0098,0.013,0.0141,0.0075,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0771,1.8141
852233,2019-09-30 00:00:00,CNSESZ,0.1398,0.1001,1.8768,0.0,0.3461,0.0744,0.0888,0.0242,0.0439,0.0368,0.0263,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9256,1.841
852233,2019-12-31 00:00:00,CNSESZ,0.0847,0.0682,2.9604,0.0181,0.3241,0.0286,0.0407,0.0153,0.0328,0.023,0.0186,0.033,0.967,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8443,1.8316
852233,2020-06-30 00:00:00,CNSESZ,0.0441,0.0274,1.1696,0.0,0.3181,0.0377,0.0544,0.0083,0.017,0.0117,0.0073,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8605,1.8341
852233,2020-03-31 00:00:00,CNSESH,-0.0647,-0.0618,1.2102,0.0,0.2342,-0.0534,0.051,-0.006,0.0137,-0.0143,-0.0137,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4302,0.7844
852233,2020-09-30 00:00:00,CNSESZ,0.0959,0.0602,1.8794,0.0,0.3241,0.051,0.0679,0.017,0.0333,0.025,0.0157,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8913,1.8868
852233,2020-12-31 00:00:00,CNSESZ,-0.0777,-0.1644,3.1813,0.0032,0.2971,-0.0244,-0.0096,-0.0088,-0.0083,-0.0211,-0.0446,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6845,1.9057
852233,2021-06-30 00:00:00,CNSESZ,0.0446,0.0276,1.3946,0.0,0.3124,0.0319,0.0428,0.0084,0.0164,0.0122,0.0075,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6729,1.8639
852233,2021-03-31 00:00:00,CNSESH,0.0725,-0.0022,1.2246,0.0,0.3142,0.0592,0.1113,0.0087,0.0301,0.016,-0.0004,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5789,0.9171
852233,2021-09-30 00:00:00,CNSESZ,0.0661,0.047,2.2341,0.0,0.31,0.0296,0.0421,0.0124,0.0252,0.0177,0.0126,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6771,1.9669
852233,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
