指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
852311,2017-09-30 00:00:00,CNSESH,0.0568,0.0356,1.391,0.0,0.1348,0.0408,0.1188,0.0182,0.0484,0.0166,0.0104,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0525,0.0,0.8465,1.4562
852311,2018-09-30 00:00:00,CNSESZ,0.0488,-0.0074,2.7728,0.0,0.1675,0.0176,0.0755,0.0167,0.1068,0.0249,-0.0037,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4772,0.3998
852311,2018-03-31 00:00:00,CNSESZ,-0.0044,-0.0049,0.8403,0.0,0.15,-0.0052,0.0472,0.0034,0.0209,-0.0023,-0.0026,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4698,0.3339
852311,2017-12-31 00:00:00,CNSESZ,0.0798,0.0231,3.8464,0.0081,0.1542,0.0207,0.0758,0.0239,0.1508,0.0413,0.0119,0.3322,0.6678,None,None,None,None,None,None,None,None,None,0.6981,0.0,0.4712,0.336
852311,2017-03-31 00:00:00,CNSESZ,0.0036,-0.002,0.7444,0.0,0.1436,0.0049,0.0553,0.0039,0.0211,0.0018,-0.001,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4771,0.3334
852311,2018-06-30 00:00:00,CNSESZ,0.0091,-0.0107,1.7187,0.0,0.1624,0.0053,0.0581,0.008,0.0518,0.0047,-0.0055,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6572,0.0,0.4593,0.3384
852311,2018-12-31 00:00:00,CNSESZ,0.2696,-0.0227,4.546,0.0006,0.1672,0.0593,0.1294,0.047,0.2748,0.1259,-0.0106,0.0,1.0,None,None,None,None,None,None,None,None,None,0.7663,0.0,0.6825,0.3766
852311,2019-03-31 00:00:00,CNSESZ,0.0026,-0.0059,0.8239,0.0,0.0806,0.0032,0.0375,0.0039,0.0126,0.001,-0.0024,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2843,0.926
852311,2019-06-30 00:00:00,CNSESZ,0.0187,-0.0046,1.5436,0.0,0.0823,0.0121,0.0491,0.0088,0.0309,0.0076,-0.0018,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1925,0.0,0.3302,0.9074
852311,2019-09-30 00:00:00,CNSESZ,-0.0024,-0.0323,2.5192,0.0,0.0735,-0.0009,0.0274,0.0099,0.028,-0.0009,-0.0131,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2025,0.0,0.3191,0.9058
852311,2017-06-30 00:00:00,CNSESH,0.0558,0.0358,0.9158,0.0,0.1376,0.0609,0.1383,0.0143,0.0351,0.0154,0.0099,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8969,1.6008
852311,2020-03-31 00:00:00,CNSESH,0.0116,0.0008,0.6373,0.0,0.1559,0.0182,0.1023,0.0059,0.0136,0.0024,0.0001,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5073,1.8428
852311,2019-12-31 00:00:00,CNSESZ,0.0184,-0.1002,3.8812,0.0063,0.081,0.0047,0.0354,0.0194,0.0568,0.0076,-0.0413,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.285,0.938
852311,2020-06-30 00:00:00,CNSESZ,0.0089,-0.0151,1.4898,0.0,0.0769,0.006,0.0456,0.0092,0.0278,0.0036,-0.0062,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2877,0.9269
852311,2020-09-30 00:00:00,CNSESZ,-0.0442,-0.0139,2.3346,0.0,0.0788,-0.0189,0.0452,0.0058,0.0441,-0.0185,-0.0058,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.2336,0.9211
852311,2020-12-31 00:00:00,CNSESZ,-0.3337,-0.3014,3.8221,0.0049,0.0621,-0.0873,-0.0514,-0.0272,-0.088,-0.1495,-0.135,-0.0035,1.0035,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.1463,1.0142
852311,2021-06-30 00:00:00,CNSESZ,0.0058,0.0014,1.6954,0.0,0.0886,0.0034,0.0439,0.0081,0.0311,0.0024,0.0005,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0464,1.0504
852311,2021-03-31 00:00:00,CNSESZ,-0.0001,-0.0046,0.5872,0.0,0.1082,-0.0003,0.0471,0.0035,0.0124,0.0,-0.002,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.1441,1.0147
852311,2021-09-30 00:00:00,CNSESZ,-0.0165,0.0283,3.075,0.0,0.0824,-0.0053,0.0465,0.0096,0.0601,-0.0069,0.0119,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.024,1.0521
852311,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
