指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
857244,2018-09-30 00:00:00,CNSESZ,0.1461,0.1237,1.6057,0.0,0.2448,0.0909,0.1282,0.035,0.0747,0.053,0.0449,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9019,0.9296
857244,2018-03-31 00:00:00,CNSESZ,0.0432,0.0364,0.4584,0.0,0.2439,0.0944,0.1394,0.011,0.0235,0.0159,0.0134,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.851,0.9418
857244,2017-03-31 00:00:00,CNSESZ,0.0283,0.0257,0.4139,0.0,0.2282,0.0685,0.0964,0.0078,0.0165,0.0117,0.0106,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6225,1.1416
857244,2018-12-31 00:00:00,CNSESH,0.2752,0.2613,13.2209,0.0,0.1148,0.0208,0.044,0.022,0.1497,0.0707,0.0671,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1707,0.9908
857244,2019-03-31 00:00:00,CNSESZ,0.041,0.0314,0.8679,0.0,0.1486,0.0473,0.0855,0.0102,0.0302,0.0167,0.0128,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8866,0.4588
857244,2019-09-30 00:00:00,CNSESZ,0.2677,0.1247,3.2132,0.0,0.1609,0.0833,0.123,0.0519,0.158,0.1069,0.0498,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0223,0.4289
857244,2019-06-30 00:00:00,CNSESZ,0.2063,0.0941,2.0948,0.0,0.1565,0.0985,0.1418,0.0395,0.1193,0.0828,0.0378,0.0,1.0,None,None,None,None,None,None,None,None,None,0.9583,0.0,1.0184,0.4563
857244,2017-09-30 00:00:00,CNSESH,0.1577,0.1372,7.1813,0.0,0.1153,0.0219,0.0479,0.0153,0.1012,0.0463,0.0403,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9388,0.9848
857244,2017-12-31 00:00:00,CNSESZ,0.3582,0.1683,2.0575,0.0401,0.238,0.1741,0.2236,0.0794,0.1742,0.1356,0.0637,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8063,0.9426
857244,2017-06-30 00:00:00,CNSESZ,0.0925,0.0756,0.8572,0.0,0.2483,0.1079,0.1366,0.0246,0.0525,0.0415,0.0339,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5625,0.9506
857244,2018-06-30 00:00:00,CNSESZ,0.1012,0.0816,1.0199,0.0,0.2431,0.0992,0.1367,0.0243,0.0514,0.0373,0.0301,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8601,0.9391
857244,2019-12-31 00:00:00,CNSESZ,0.1829,0.0876,4.828,0.0,0.1535,0.0378,0.0673,0.041,0.126,0.0709,0.0339,0.0,1.0,None,None,None,None,None,None,None,None,None,1.7016,0.0,0.9805,0.4716
857244,2020-03-31 00:00:00,CNSESH,0.0718,0.0635,3.0667,0.0,0.1073,0.0234,0.0468,0.0045,0.0335,0.0167,0.0148,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.414,1.0294
857244,2020-09-30 00:00:00,CNSESZ,0.097,0.0849,3.0191,0.0,0.1448,0.0321,0.0664,0.0242,0.0724,0.035,0.0307,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0114,0.6547
857244,2020-06-30 00:00:00,CNSESZ,0.0418,0.0009,1.7997,0.0,0.1369,0.0232,0.0557,0.0116,0.0371,0.0154,0.0003,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9715,0.458
857244,2020-12-31 00:00:00,CNSESZ,0.1778,0.0829,4.7735,0.0,0.15,0.0372,0.0774,0.0419,0.1292,0.0621,0.0289,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9911,0.7008
857244,2021-03-31 00:00:00,CNSESH,0.0908,0.0839,3.9806,0.0,0.1084,0.0228,0.0473,0.0049,0.0414,0.0199,0.0184,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.5934,1.0311
857244,2021-09-30 00:00:00,CNSESH,0.262,0.2312,14.5207,0.0,0.0977,0.018,0.0348,0.0137,0.1097,0.0568,0.0501,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6908,1.0766
857244,2021-06-30 00:00:00,CNSESH,0.2068,0.179,10.3762,0.0,0.0951,0.0199,0.0368,0.0112,0.0838,0.0453,0.0392,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6508,1.0548
857244,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
