指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
859511,2021-03-31 00:00:00,CNSESZ,0.2112,0.0206,1.3249,0.0,0.3118,0.1594,0.2801,0.0236,0.0733,0.0417,0.004,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.6482,1.0903
859511,2020-06-30 00:00:00,CNSESZ,0.3022,0.3068,2.2703,0.0,0.2528,0.1331,0.2147,0.0385,0.1049,0.065,0.066,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3439,1.0406
859511,2020-09-30 00:00:00,CNSESZ,0.4332,0.4301,3.3967,0.0,0.2558,0.1275,0.2185,0.0548,0.1544,0.0901,0.0894,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4724,1.0476
859511,2019-09-30 00:00:00,CNSESZ,0.449,0.4455,3.6253,0.0,0.2193,0.1238,0.1859,0.0669,0.1473,0.0981,0.0973,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4524,1.0016
859511,2021-06-30 00:00:00,CNSESH,0.8533,0.8338,6.914,0.0,0.2486,0.1234,0.2078,0.04,0.1405,0.0834,0.0815,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,6.3606,2.1984
859511,2019-12-31 00:00:00,CNSESZ,0.4734,0.0019,4.9078,0.0455,0.2166,0.0964,0.1627,0.0745,0.1768,0.1047,0.0004,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4706,1.0016
859511,2020-12-31 00:00:00,CNSESZ,0.4005,0.036,4.6185,0.0426,0.2465,0.0867,0.1703,0.0533,0.1631,0.083,0.0074,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4369,1.0903
859511,2019-03-31 00:00:00,CNSESZ,0.1937,0.1924,0.8379,0.0,0.344,0.2311,0.2871,0.0306,0.0529,0.0426,0.0423,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4025,0.8168
859511,2021-09-30 00:00:00,CNSESH,1.4169,1.4133,11.3705,0.0,0.2564,0.1246,0.2123,0.0652,0.2255,0.1324,0.132,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,6.9556,2.1721
859511,2020-03-31 00:00:00,CNSESH,0.2412,0.0767,2.61,0.0,0.2476,0.0924,0.1703,0.0131,0.0446,0.0241,0.0076,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,6.0718,2.1983
859511,2019-06-30 00:00:00,CNSESZ,0.3204,0.3178,2.5029,0.0,0.2163,0.128,0.182,0.0477,0.0998,0.0702,0.0696,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.5355,0.8475
859511,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
