指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
859512,2020-06-30 00:00:00,CNSESZ,0.2224,0.2194,3.2192,0.0,0.2421,0.069,0.1344,0.0212,0.0794,0.0408,0.0402,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1449,0.7186
859512,2021-03-31 00:00:00,CNSESZ,0.1403,0.1376,1.9966,0.0,0.2211,0.0702,0.148,0.0125,0.0552,0.0262,0.0257,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1928,0.5953
859512,2019-06-30 00:00:00,CNSESZ,0.2581,0.2537,4.2392,0.0,0.2468,0.0609,0.1286,0.0223,0.0913,0.0432,0.0424,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.4871,0.7976
859512,2020-09-30 00:00:00,CNSESZ,0.3173,0.3247,4.9409,0.0,0.2516,0.0642,0.1276,0.0315,0.1135,0.0571,0.0584,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1834,0.7092
859512,2019-09-30 00:00:00,CNSESZ,0.3796,0.378,6.2258,0.0,0.2482,0.0609,0.1255,0.0332,0.1275,0.0619,0.0616,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.6086,0.8237
859512,2021-06-30 00:00:00,CNSESH,0.2695,0.263,2.8122,0.0,0.2359,0.0958,0.1652,0.0301,0.1113,0.0645,0.063,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9911,0.8914
859512,2019-12-31 00:00:00,CNSESZ,0.3906,0.393,8.182,0.0528,0.2487,0.0477,0.1186,0.0358,0.161,0.0648,0.0652,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5772,0.8202
859512,2019-03-31 00:00:00,CNSESZ,0.1239,0.1156,2.1177,0.0,0.2243,0.0585,0.1228,0.0108,0.0438,0.0208,0.0194,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.5483,0.7976
859512,2021-09-30 00:00:00,CNSESH,0.4581,0.4471,4.6049,0.0,0.2409,0.0994,0.1663,0.0483,0.1782,0.1065,0.1039,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1757,0.8914
859512,2020-03-31 00:00:00,CNSESH,0.0941,0.0935,1.6691,0.0,0.1757,0.0564,0.1199,0.011,0.0393,0.0185,0.0184,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3118,0.9803
859512,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
859512,2020-12-31 00:00:00,CNSESZ,0.3593,0.3233,7.1295,0.2389,0.2156,0.0504,0.1178,0.0367,0.1618,0.0692,0.0623,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,3.0525,0.5953
