指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
859621,2020-06-30 00:00:00,CNSESZ,-0.0051,-0.0053,0.646,0.0,0.1902,-0.0079,0.0416,0.0059,0.0218,-0.0041,-0.0043,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.6131,0.6826
859621,2021-03-31 00:00:00,CNSESH,0.0161,0.0125,0.7977,0.0,0.0754,0.0202,0.0428,0.0051,0.0176,0.0083,0.0064,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0559,0.7818
859621,2020-09-30 00:00:00,CNSESZ,-0.0017,-0.0342,0.8935,0.0,0.1704,-0.0019,0.0689,0.0115,0.05,-0.0014,-0.0278,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.6134,0.7514
859621,2019-09-30 00:00:00,CNSESZ,0.028,0.0249,1.5819,0.0,0.1354,0.0177,0.0369,0.0088,0.0339,0.0163,0.0145,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.7313,0.7095
859621,2021-06-30 00:00:00,CNSESZ,0.0047,-0.0074,0.6522,0.0,0.1441,0.0072,0.0497,0.0055,0.0253,0.0036,-0.0057,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.6241,0.7515
859621,2019-03-31 00:00:00,CNSESZ,-0.0146,-0.0169,0.2102,0.0,0.1449,-0.0698,-0.042,-0.0025,-0.0052,-0.0087,-0.0101,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.758,0.7194
859621,2019-12-31 00:00:00,CNSESZ,0.1478,0.0352,2.115,0.0,0.1556,0.0699,0.0511,0.0455,0.0879,0.1202,0.0286,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.6064,0.6987
859621,2021-09-30 00:00:00,CNSESH,0.0919,0.0798,2.7168,0.0,0.1019,0.0338,0.0589,0.0249,0.081,0.0465,0.0404,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0932,0.7819
859621,2020-03-31 00:00:00,CNSESH,0.0317,0.0269,0.8014,0.0,0.137,0.0396,0.0706,0.0092,0.0318,0.0178,0.0151,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0034,0.7804
859621,2019-06-30 00:00:00,CNSESZ,0.0248,0.0158,0.9887,0.0,0.1328,0.0251,0.0485,0.0105,0.0279,0.0144,0.0092,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.7203,0.71
859621,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
859621,2020-12-31 00:00:00,CNSESZ,0.0015,-0.0491,1.4169,0.0,0.1896,0.001,0.0723,0.0219,0.0794,0.0011,-0.038,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.6127,0.7515
