指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
859622,2020-12-31 00:00:00,CNSESZ,-0.8332,-0.8512,0.9904,0.0,0.1911,-0.8412,-0.8141,-0.174,-0.374,-0.3865,-0.3949,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.9678,1.7284
859622,2020-06-30 00:00:00,CNSESZ,-0.104,-0.0854,0.4854,0.0,0.2207,-0.2142,-0.184,-0.0151,-0.0301,-0.0351,-0.0288,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.2097,1.8824
859622,2021-03-31 00:00:00,CNSESZ,-0.0114,-0.0249,0.2116,0.0,0.2531,-0.0539,-0.0597,-0.0011,-0.0057,-0.0052,-0.0113,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.9781,1.7295
859622,2019-09-30 00:00:00,CNSESZ,0.0321,0.0328,1.3242,0.0,0.2861,0.0242,0.0617,0.0096,0.0247,0.0097,0.0099,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3222,1.8337
859622,2020-09-30 00:00:00,CNSESZ,-0.1663,-0.0981,0.7172,0.0,0.2125,-0.2318,-0.1751,-0.0204,-0.043,-0.057,-0.0336,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.2752,1.8824
859622,2021-06-30 00:00:00,CNSESZ,0.0086,-0.0089,0.4987,0.0,0.3026,0.0173,0.0792,0.0086,0.0182,0.004,-0.0041,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.9693,1.7304
859622,2019-03-31 00:00:00,CNSESZ,0.0422,0.0133,0.4122,0.0,0.2637,0.1024,0.1454,0.0106,0.019,0.0133,0.0042,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3522,1.7138
859622,2021-09-30 00:00:00,CNSESZ,0.0091,-0.0078,0.7465,0.0,0.3086,0.0122,0.0735,0.0111,0.0259,0.0043,-0.0037,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.9691,1.7301
859622,2019-12-31 00:00:00,CNSESZ,-0.3364,-0.3818,1.9928,0.0,0.277,-0.1688,-0.1308,-0.0542,-0.0875,-0.1129,-0.1282,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0515,1.8343
859622,2020-03-31 00:00:00,CNSESH,-0.0693,-0.0729,1.195,0.0,0.035,-0.058,-0.0402,-0.0045,-0.0102,-0.0147,-0.0155,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4603,1.9644
859622,2019-06-30 00:00:00,CNSESZ,0.041,0.0275,0.9298,0.0,0.2784,0.0441,0.0844,0.0109,0.024,0.0125,0.0084,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3308,1.8339
859622,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
