指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
859631,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
859631,2020-06-30 00:00:00,CNSESZ,0.2131,0.1939,5.7243,0.0,0.1254,0.0372,0.1019,0.0218,0.1511,0.0552,0.0502,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4364,1.5063
859631,2020-12-31 00:00:00,CNSESZ,0.5503,0.4626,12.4058,0.0864,0.116,0.0443,0.1053,0.0409,0.3118,0.1313,0.1104,0.0923,0.9077,None,None,None,None,None,None,None,None,None,0.0,0.0,1.732,1.8341
859631,2021-03-31 00:00:00,CNSESZ,0.2554,0.2494,3.9878,0.0,0.1565,0.064,0.1398,0.0164,0.1265,0.0579,0.0566,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9874,1.8337
859631,2019-06-30 00:00:00,CNSESZ,0.2002,0.1736,6.2861,0.0,0.0694,0.0318,0.0549,0.0221,0.1002,0.058,0.0503,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3005,1.5372
859631,2020-09-30 00:00:00,CNSESZ,0.4256,0.3924,8.7474,0.0,0.1375,0.0486,0.1181,0.0375,0.2504,0.1031,0.095,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6214,1.8356
859631,2019-09-30 00:00:00,CNSESZ,0.3254,0.2731,9.4695,0.0,0.072,0.0343,0.0596,0.0305,0.1472,0.0848,0.0712,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4256,1.5371
859631,2021-06-30 00:00:00,CNSESZ,0.4583,0.425,7.6863,0.0,0.1529,0.0596,0.1345,0.0311,0.2626,0.1164,0.1079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.8766,1.4361
859631,2019-12-31 00:00:00,CNSESZ,0.3914,0.3318,12.7973,0.1031,0.0744,0.0305,0.0563,0.0352,0.1828,0.0992,0.0841,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4754,1.5335
859631,2019-03-31 00:00:00,CNSESZ,0.0927,0.0798,2.8324,0.0,0.0662,0.0327,0.0513,0.01,0.0443,0.0283,0.0243,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3908,1.4904
859631,2021-09-30 00:00:00,CNSESZ,0.644,0.5967,11.8171,0.0,0.1478,0.0545,0.127,0.0423,0.3518,0.151,0.1399,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.018,1.4332
859631,2020-03-31 00:00:00,CNSESH,-0.1089,-0.1077,3.4548,0.0,0.0448,-0.0315,-0.0228,-0.0051,-0.0126,-0.0174,-0.0172,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1452,0.8338
