行业代码,报表日期,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),每股未分配利润,每股资本公积金,流动比率,速动比率,应收账款周转率,资产负债率,每股现金流,总资产周转率,每股经营性现金流,非经常性损益比率,应收账款周转天数,存货周转率,存货周转天数,固定资产周转率,净资产增长率,红利发放比率,留存比率,每股净资产,调整后的每股净资产
15104020,2017-09-30 00:00:00,0.2201,0.2124,3.5939,0.0,0.1812,0.0612,0.1206,0.0433,0.1431,0.0726,0.0701,0.4626,1.7599,2.79,2.134,None,42.2119,0.0623,None,0.256,23.9978,None,None,None,None,None,0.0,1.0,8.635,None
15104020,2018-09-30 00:00:00,0.285,0.2801,3.8657,0.0,0.1913,0.0737,0.1294,0.0492,0.153,0.0871,0.0856,0.6312,1.7203,2.4328,1.6234,None,44.6122,-0.1037,None,0.3868,14.5522,None,None,None,None,None,0.0,1.0,None,None
15104020,2019-12-31 00:00:00,0.1561,0.1407,5.4471,0.0268,0.1303,0.0286,0.0674,0.035,0.1116,0.0474,0.0427,0.5544,1.6478,2.1818,1.5113,44.7795,45.4393,-0.0197,0.7712,0.5122,20.2664,0.0223,9.6587,0.1035,3.895,2.9107,0.0581,0.9419,2.6511,6.65
15104020,2017-03-31 00:00:00,0.0547,0.0498,1.1065,0.0,0.1662,0.0495,0.1045,0.0115,0.0397,0.0188,0.0171,0.3425,1.5959,3.2361,2.5356,None,42.6369,-0.0017,None,-0.0025,13.8043,None,None,None,None,None,0.0,1.0,4.23,None
15104020,2020-09-30 00:00:00,0.1578,0.1193,4.6225,0.0,0.1112,0.0341,0.0637,0.0288,0.0837,0.0448,0.0339,0.6437,1.8309,2.9634,2.1343,None,41.3254,0.0375,None,0.326,20.0649,None,None,None,None,None,0.0,1.0,8.43,None
15104020,2018-06-30 00:00:00,0.2075,0.2073,2.4885,0.0,0.2056,0.0834,0.141,0.0373,0.1173,0.0693,0.0692,0.571,1.5998,2.2895,1.5168,None,44.5726,0.0068,None,0.2107,21.4463,None,None,None,None,None,0.0,1.0,2.1869,None
15104020,2018-03-31 00:00:00,0.1173,0.1119,1.2519,0.0,0.2135,0.0937,0.1605,0.0198,0.0635,0.037,0.0353,0.599,1.8288,2.6663,1.8683,None,44.1424,0.0277,None,0.0637,28.2868,None,None,None,None,None,0.0,1.0,2.575,None
15104020,2017-06-30 00:00:00,0.1267,0.1192,2.2073,0.0,0.1754,0.0574,0.1124,0.0278,0.0905,0.0462,0.0434,0.3921,1.4226,2.5263,1.8019,None,42.6747,-0.0622,None,0.1032,12.1229,None,None,None,None,None,0.0,1.0,2.2112,None
15104020,2021-03-31 00:00:00,0.1159,0.1027,1.9173,0.0,0.1451,0.0604,0.0976,0.0163,0.0515,0.0319,0.0283,0.7538,1.9267,2.6102,1.9583,None,41.5771,0.0286,None,0.114,14.9255,None,None,None,None,None,0.0,1.0,1.97,None
15104020,2019-06-30 00:00:00,0.1196,0.105,2.3444,0.0,0.1462,0.051,0.0878,0.0231,0.0641,0.0372,0.0327,0.5098,1.6107,2.2646,1.4986,None,44.2518,-0.0346,None,0.2288,13.1615,None,None,None,None,None,0.0,1.0,2.1557,None
15104020,2021-06-30 00:00:00,0.2564,0.2261,3.8386,0.0,0.1521,0.0667,0.1087,0.0367,0.1172,0.072,0.0635,0.7238,1.9219,2.3348,1.6144,None,46.5098,0.0474,None,0.244,28.3175,None,None,None,None,None,0.0,1.0,2.5876,None
15104020,2019-09-30 00:00:00,0.1843,0.1532,4.0413,0.0,0.1322,0.0456,0.0793,0.033,0.0935,0.0537,0.0447,0.5774,1.7161,2.0732,1.3967,None,45.3135,-0.0055,None,0.3294,31.7414,None,None,None,None,None,0.0,1.0,None,None
15104020,2017-12-31 00:00:00,0.2716,0.2546,4.622,0.0077,0.197,0.0587,0.1182,0.0561,0.1848,0.0918,0.0861,0.4898,1.6495,2.3418,1.6019,38.1353,43.427,0.0283,0.7824,0.3908,16.4784,0.0262,5.2284,0.1912,6.0603,1.9913,0.0208,0.9792,2.1569,None
15104020,2019-03-31 00:00:00,0.063,0.0529,1.183,0.0,0.1416,0.0532,0.0886,0.0116,0.0309,0.0186,0.0156,0.5474,1.7506,2.1894,1.4956,None,44.706,-0.0145,None,0.0683,37.8369,None,None,None,None,None,0.0,1.0,None,None
15104020,2018-12-31 00:00:00,0.1921,0.2128,5.0785,0.0095,0.1877,0.0378,0.0949,0.0426,0.1494,0.0595,0.0659,0.5372,1.6562,2.2069,1.4766,39.4972,43.4551,0.12,0.832,0.5866,6.4148,0.0253,4.2989,0.2326,5.4556,2.187,0.0489,0.9511,2.4557,None
15104020,2021-09-30 00:00:00,0.4441,0.3852,6.2928,0.0,0.1504,0.0705,0.1132,0.0575,0.1818,0.1133,0.0983,0.9324,2.1576,2.4757,1.8633,None,41.0444,0.0797,None,0.4281,13.4878,None,None,None,None,None,0.0,1.0,None,None
15104020,2020-12-31 00:00:00,0.1806,0.1367,5.8734,0.0538,0.1241,0.0307,0.0606,0.0367,0.1047,0.0531,0.0402,0.6203,1.7338,2.5609,1.8642,45.2317,45.2969,0.1857,0.7216,0.4516,43.9581,0.0221,5.6476,0.177,3.8157,2.4878,0.0675,0.9325,2.7337,None
15104020,2020-03-31 00:00:00,0.0292,0.0197,1.3323,0.0,0.0819,0.0219,0.0509,0.0068,0.0195,0.0084,0.0056,0.5999,1.795,2.4589,1.769,None,42.7202,-0.0431,None,0.0808,7.4808,None,None,None,None,None,0.0,1.0,9.3266,None
15104020,2020-06-30 00:00:00,0.0747,0.0587,2.7013,0.0,0.0995,0.0276,0.0555,0.0163,0.0456,0.0227,0.0178,0.5506,1.6615,2.573,1.8353,None,43.2226,-0.0413,None,0.1586,18.9883,None,None,None,None,None,0.0,1.0,2.3174,3.93
