交易日期,行业代码,平均开盘价,平均收盘价,平均最高价,平均最低价,成交量,成交金额,换手率,1天回报排名,1周回报排名,4周回报排名,13周回报排名,26周回报排名,52周回报排名,年初迄今回报排名,1天回报,1周回报,4周回报,13周回报,26周回报,52周回报,年初迄今回报,流通市值总和,总市值总和,市盈率,调整市盈率,追溯市盈率,市净率,调整市净率,市销率,追溯市销率,市价现金流比率,追溯市价现金流比率,红利收益率,追溯红利收益率,上涨家数,下跌家数,平盘家数
20170103,10102050,8.112972,8.201891,8.256486,8.077837,453142571.0,3553284466.95,0.5845,None,None,None,None,None,None,None,1.3266132463182827,0.47672645945945946,-4.38789208108108,1.4611981621621621,18.60000948648648,0.35383854054054076,0.0,681946321769.95,916474438237.77,13.6983,None,None,1.3531,None,1.2963,None,7.6142,None,0.0004,None,None,None,None
20170104,10102050,8.18,8.24,8.276486,8.106756,489857130.0,3836223278.79,0.6319,None,None,None,None,None,None,None,0.4982943690788813,1.3265836216216216,-4.19148527027027,0.9055531351351351,16.684485108108106,1.400624675675676,1.3265836216216216,685901235173.03,921323094638.63,13.7707,None,None,1.3602,None,1.3032,None,7.6545,None,0.0004,None,None,None,None
20170105,10102050,8.261351,8.333243,8.452432,8.214054,761380949.0,6303765973.38,0.9821,None,None,None,None,None,None,None,1.0996403087329507,1.8300465945945943,-3.7264116756756747,1.3984618648648652,17.26773618918919,1.9120504594594596,1.8300465945945943,690595866121.6499,927419898373.8799,13.8619,None,None,1.3692,None,1.3118,None,7.7052,None,0.0004,None,None,None,None
20170106,10102050,8.315945,8.295675,8.421621,8.21027,720932704.0,5873549690.82,0.9299,None,None,None,None,None,None,None,-0.25690298256248806,2.95238018918919,-2.7082020000000004,2.466806378378378,18.571864270270268,3.070488243243243,2.95238018918919,690163010865.47,926661955685.8398,13.8505,None,None,1.3681,None,1.3107,None,7.6989,None,0.0004,None,None,None,None
20170109,10102050,8.286486,8.326216,8.39081,8.196756,570639506.0,4851753628.63,0.736,None,None,None,None,None,None,None,0.4118652086080318,0.41180721621621624,1.2646851621621622,0.3543553513513514,14.269318081081082,5.143592486486486,3.1280329459459453,693468398883.1799,929757994787.53,13.8968,None,None,1.3727,None,1.3151,None,7.7246,None,0.0004,None,None,None,None
20170110,10102050,8.316216,8.384594,8.518108,8.232432,769233917.0,6195672645.64,0.9922,None,None,None,None,None,None,None,0.7475474447370828,0.41180721621621613,1.2646851621621624,0.3543553513513514,14.26931808108108,5.143592486486486,3.128032945945946,700575598823.48,939058119817.06,14.0358,None,None,1.3864,None,1.3298,None,7.8018,None,0.0004,None,None,None,None
20170111,10102050,8.357837,8.287027,8.494864,8.228108,679223301.0,5577855191.66,0.8761,None,None,None,None,None,None,None,-1.2053042482915608,1.1635984324324333,1.9884843243243244,1.137526135135135,15.091538135135133,6.0983575135135135,3.8810933243243246,694289863026.6702,930970121099.8301,13.9149,None,None,1.3745,None,1.3295,None,7.7347,None,0.0004,None,None,None,None
20170112,10102050,8.264054,8.218378,8.381891,8.127837,475990015.0,3874425128.65,0.614,None,None,None,None,None,None,None,-1.1276180646206309,-0.056547054054054,0.7411227027027028,-0.11599278378378344,13.64667908108108,4.818999,2.621080378378379,686243547281.49,923856913258.27,13.8086,None,None,1.364,None,1.3193,None,7.6756,None,0.0004,None,None,None,None
20170113,10102050,8.191891,8.09027,8.31081,8.028918,457491592.0,3639228205.83,0.5901,None,None,None,None,None,None,None,-1.3012230855584146,-1.2057429459459459,-0.43449554054054057,-1.2449415675675675,12.343210081081079,3.6474977567567572,1.4314980810810807,684280937381.07,920120301193.8999,13.7528,None,None,1.3584,None,1.314,None,7.6445,None,0.0004,None,None,None,None
20170116,10102050,8.081621,7.907297,8.214054,7.587297,793332691.0,6093075114.72,1.0233,None,None,None,None,None,None,None,-1.9745141806988509,-2.5093037837837837,-1.7660645675675675,-2.5865984594594593,10.822140405405403,2.164108783783784,0.08365294594594594,684007636918.75,920471790666.45,13.758,None,None,1.359,None,1.3145,None,7.6474,None,0.0004,None,None,None,None
