TDate*,交易日期
Icode*,行业代码
TOpen,平均开盘价
TClose,平均收盘价
High,平均最高价
Low,平均最低价
VoTurnover,成交量
VaTurnover,成交金额
Turnover,换手率
D1IRank,1天回报排名
W1IRank,1周回报排名
W4IRank,4周回报排名
W13IRank,13周回报排名
W26IRank,26周回报排名
W52IRank,52周回报排名
YTDIRank,年初迄今回报排名
D1return,1天回报
W1Return,1周回报
W4Return,4周回报
W13Return,13周回报
W26Return,26周回报
W52Return,52周回报
YTDReturn,年初迄今回报
MCAP,流通市值总和
TCAP,总市值总和
PE,市盈率
PEA,调整市盈率
TPE,追溯市盈率
PB,市净率
PBA,调整市净率
PS,市销率
TPS,追溯市销率
PCF,市价现金流比率
TPCF,追溯市价现金流比率
DY,红利收益率
TDY,追溯红利收益率
UPTickVol,上涨家数
DnTickVol,下跌家数
FTickVol,平盘家数
