id,co_code,security_code,security_name,pyjc,create_time,update_time
1,1301000001,000552,靖远煤电,JYMD,2020/5/16 22:19:24,2020/5/16 22:19:24
3,1301000003,000629,攀钢钒钛,PGFT,2020/5/16 22:19:24,2020/5/16 22:19:24
4,1301000004,000655,金岭矿业,JLKY,2020/5/16 22:19:24,2020/5/16 22:19:24
5,1301000005,000723,美锦能源,MJNY,2020/5/16 22:19:24,2020/5/16 22:19:24
6,1301000006,000762,西藏矿业,XZKY,2020/5/16 22:19:24,2020/5/16 22:19:24
7,1301000007,000780,ST平能,STPN,2020/5/16 22:19:24,2021/6/23 15:48:06
8,1301000008,000937,冀中能源,JZNY,2020/5/16 22:19:24,2020/5/16 22:19:24
9,1301000009,000968,蓝焰控股,LYKG,2020/5/16 22:19:24,2020/5/16 22:19:24
10,1301000010,000983,山西焦煤,XSMD,2020/5/16 22:19:24,2020/12/26 0:53:22
11,1301000011,002128,露天煤业,LTMY,2020/5/16 22:19:24,2020/5/16 22:19:24
12,1301000012,002207,准油股份,STZY,2020/5/16 22:19:24,2020/7/15 18:04:12
13,1301000013,002554,惠博普,HBP,2020/5/16 22:19:24,2020/5/16 22:19:24
14,1301000014,002629,ST仁智,STRZ,2020/5/16 22:19:24,2020/12/26 0:53:22
16,1301000016,002828,贝肯能源,BKNY,2020/5/16 22:19:24,2020/5/16 22:19:24
17,1301000017,300157,恒泰艾普,HTAP,2020/5/16 22:19:24,2020/5/16 22:19:24
18,1301000018,300164,通源石油,TYSY,2020/5/16 22:19:24,2020/5/16 22:19:24
19,1301000019,300191,潜能恒信,QNHX,2020/5/16 22:19:24,2020/5/16 22:19:24
20,1301000020,600121,郑州煤电,ZZMD,2020/5/16 22:19:24,2020/5/16 22:19:24
21,1301000021,600123,兰花科创,LHKC,2020/5/16 22:19:24,2020/5/16 22:19:24
23,1301000023,600188,兖州煤业,YZMY,2020/5/16 22:19:24,2020/5/16 22:19:24
24,1301000024,600295,鄂尔多斯,EEDS,2020/5/16 22:19:24,2020/5/16 22:19:24
25,1301000025,600339,中油工程,ZYGC,2020/5/16 22:19:24,2020/5/16 22:19:24
26,1301000026,600348,华阳股份,HYGF,2020/5/16 22:19:24,2021/4/19 19:08:08
27,1301000027,600395,盘江股份,PJGF,2020/5/16 22:19:24,2020/5/16 22:19:24
28,1301000028,600397,安源煤业,AYMY,2020/5/16 22:19:24,2020/5/16 22:19:24
29,1301000029,600408,ST安泰,STAT,2020/5/16 22:19:24,2020/5/16 22:19:24
30,1301000030,600403,ST大有,STDY,2020/5/16 22:19:24,2021/5/7 18:40:58
31,1301000031,600508,上海能源,SHNY,2020/5/16 22:19:24,2020/5/16 22:19:24
32,1301000032,600532,未来股份,WLGF,2020/5/16 22:19:24,2021/4/19 19:08:08
33,1301000033,600546,山煤国际,SMGJ,2020/5/16 22:19:24,2020/5/16 22:19:24
34,1301000034,600583,海油工程,HYGC,2020/5/16 22:19:24,2020/5/16 22:19:24
36,1301000036,600740,山西焦化,SXJH,2020/5/16 22:19:24,2020/5/16 22:19:24
37,1301000037,600758,辽宁能源,HYNY,2020/5/16 22:19:24,2020/7/15 18:04:12
38,1301000038,600759,洲际油气,ZJYQ,2020/5/16 22:19:24,2020/5/16 22:19:24
39,1301000039,600777,新潮能源,XCNY,2020/5/16 22:19:24,2020/5/16 22:19:24
