id,finance_code,report_date,security_code,product_name,product_sort,income,income_ratio,create_time,update_time
45897,126600725,2020/12/31 0:00:00,600725,钢制品,1,835482824.6,0.608,2021/3/19 19:52:19,2021/3/19 19:52:19
45898,226600725,2020/12/31 0:00:00,600725,煤炭,2,492616408.1,0.3585,2021/3/19 19:52:19,2021/3/19 19:52:19
45899,326600725,2020/12/31 0:00:00,600725,铁矿石,3,26611260.64,0.0194,2021/3/19 19:52:19,2021/3/19 19:52:19
45900,426600725,2020/12/31 0:00:00,600725,铝制品,4,19525269.26,0.0142,2021/3/19 19:52:19,2021/3/19 19:52:19
45909,126603505,2020/12/31 0:00:00,603505,自产酸级萤石精粉,1,617613131.4,0.7096,2021/3/19 19:52:19,2021/3/19 19:52:19
45910,226603505,2020/12/31 0:00:00,603505,自产高品位萤石块矿,2,240224611.8,0.276,2021/3/19 19:52:19,2021/3/19 19:52:19
45911,326603505,2020/12/31 0:00:00,603505,自产冶金级萤石精粉,3,11383289.2,0.0131,2021/3/19 19:52:19,2021/3/19 19:52:19
45912,426603505,2020/12/31 0:00:00,603505,自产普通萤石原矿,4,1205928.85,0.0014,2021/3/19 19:52:19,2021/3/19 19:52:19
45984,125605086,2020/6/30 0:00:00,605086,原矿,1,53593800,0.5923,2021/3/22 14:08:07,2021/3/22 14:08:07
45985,225605086,2020/6/30 0:00:00,605086,综合利用,2,22471900,0.2484,2021/3/22 14:08:07,2021/3/22 14:08:07
45986,325605086,2020/6/30 0:00:00,605086,精矿,3,14418000,0.1593,2021/3/22 14:08:07,2021/3/22 14:08:07
46075,126000655,2020/12/31 0:00:00,000655,铁精粉,1,1043924014,0.7276,2021/3/24 15:59:12,2021/3/24 15:59:12
46076,226000655,2020/12/31 0:00:00,000655,球团,2,255529214.2,0.1781,2021/3/24 15:59:12,2021/3/24 15:59:12
46077,326000655,2020/12/31 0:00:00,000655,其他业务收入,3,76729913.31,0.0535,2021/3/24 15:59:12,2021/3/24 15:59:12
46078,426000655,2020/12/31 0:00:00,000655,其他产品之和,4,58663907.97,0.0409,2021/3/24 15:59:12,2021/3/24 15:59:12
46310,126600583,2020/12/31 0:00:00,600583,海洋工程,1,14360000000.00,0.8039,2021/3/24 15:59:12,2021/3/24 15:59:12
46311,226600583,2020/12/31 0:00:00,600583,非海洋工程,2,3503000000,0.1961,2021/3/24 15:59:12,2021/3/24 15:59:12
46740,126600508,2020/12/31 0:00:00,600508,煤炭,1,4717742639.96,0.6299,2021/3/25 21:30:36,2021/3/25 21:30:36
46741,226600508,2020/12/31 0:00:00,600508,电力,2,1444188272,0.1928,2021/3/25 21:30:36,2021/3/25 21:30:36
46742,326600508,2020/12/31 0:00:00,600508,铝加工,3,1188290352,0.1587,2021/3/25 21:30:36,2021/3/25 21:30:36
46743,426600508,2020/12/31 0:00:00,600508,其他,4,138956624.9,0.0186,2021/3/25 21:30:36,2021/3/25 21:30:36
46769,126600871,2020/12/31 0:00:00,600871,钻井,1,34199657000.00,0.51,2021/3/25 21:30:36,2021/3/25 21:30:36
46770,226600871,2020/12/31 0:00:00,600871,工程建设,2,15683065000.00,0.2339,2021/3/25 21:30:36,2021/3/25 21:30:36
46771,326600871,2020/12/31 0:00:00,600871,井下特种作业,3,8596355000.00,0.1282,2021/3/25 21:30:36,2021/3/25 21:30:36
46772,426600871,2020/12/31 0:00:00,600871,其他产品之和,4,8578403000.00,0.1279,2021/3/25 21:30:36,2021/3/25 21:30:36
46779,126601808,2020/12/31 0:00:00,601808,油田技术服务,1,13323700000.00,0.4601,2021/3/25 21:30:36,2021/3/25 21:30:36
