id,industry_code,father_industrycode,level,create_time,update_time
37,1201210100,1201210000,3,2021/1/11 16:11:02,2021/1/11 16:11:02
38,1201210200,1201210000,3,2021/1/11 16:11:02,2021/1/11 16:11:02
39,1201210300,1201210000,3,2021/1/11 16:11:02,2021/1/11 16:11:02
40,1201210400,1201210000,3,2021/1/11 16:11:02,2021/1/11 16:11:02
146,1201210101,1201210100,4,2021/1/11 16:11:02,2021/1/11 16:11:02
147,1201210201,1201210200,4,2021/1/11 16:11:02,2021/1/11 16:11:02
148,1201210202,1201210200,4,2021/1/11 16:11:02,2021/1/11 16:11:02
149,1201210301,1201210300,4,2021/1/11 16:11:02,2021/1/11 16:11:02
150,1201210401,1201210400,4,2021/1/11 16:11:02,2021/1/11 16:11:02
151,1201210402,1201210400,4,2021/1/11 16:11:02,2021/1/11 16:11:02
2644,1200003751,1200000797,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2645,1200003752,1200000797,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2646,1200003753,1200000797,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2647,1200003754,1200000797,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2648,1200003755,1200000797,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2649,1200003756,1200000797,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2650,1200003757,1200000798,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2651,1200003758,1200000799,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2652,1200003759,1200000800,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2653,1200003760,1200000801,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2654,1200003761,1200000801,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2655,1200003762,1200000801,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2656,1200003763,1200000802,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2657,1200003764,1200000802,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2658,1200003765,1200000803,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2659,1200003766,1200000804,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2660,1200003767,1200000805,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2661,1200003768,1200000806,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2666,1200003773,1200000809,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2667,1200003774,1200000810,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2668,1200003775,1200000811,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2669,1200003776,1200000812,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2670,1200003777,1200000813,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2671,1200003778,1200000813,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2672,1200003779,1200000813,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2673,1200003780,1200000814,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2674,1200003781,1200000814,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2675,1200003782,1200000814,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2676,1200003783,1200000815,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2677,1200003784,1200000815,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2678,1200003785,1200000815,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2679,1200003786,1200000815,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2680,1200003787,1200000815,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2681,1200003788,1200000816,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2682,1200003789,1200000816,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2683,1200003790,1200000816,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2684,1200003791,1200000816,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2685,1200003792,1200000816,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2686,1200003793,1200000816,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2687,1200003794,1200000816,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2688,1200003795,1200000816,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2689,1200003796,1200000817,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2690,1200003797,1200000817,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2692,1200003799,1200000818,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2693,1200003800,1200000818,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2694,1200003801,1200000818,6,2021/1/11 16:11:02,2021/1/11 16:11:02
2695,1200003802,1200000818,6,2021/1/11 16:11:02,2021/1/11 16:11:02
