数据年月,商品名称,贸易伙伴名称,第一数量,人民币
202206,无烟煤,老挝,32102170,"31,422,088"
202206,无烟煤,蒙古,35035826,"18,019,478"
202206,无烟煤,吉尔吉斯斯坦,47000,"25,350"
202206,无烟煤,俄罗斯联邦,1240407741,"1,918,521,386"
202206,无烟煤,秘鲁,37357000,"51,889,459"
202206,炼焦煤,印度尼西亚,242729000,"599,260,661"
202206,炼焦煤,蒙古,2279683318,"3,004,768,223"
202206,炼焦煤,俄罗斯联邦,1696561250,"2,731,054,907"
202206,炼焦煤,加拿大,685108962,"2,015,932,796"
202206,炼焦煤,美国,78858280,"206,977,094"
202206,褐煤,缅甸,11496620,"3,334,019"
202206,褐煤,印度尼西亚,7818473800,"5,184,999,195"
202206,褐煤,老挝,2810090,"1,258,124"
202206,褐煤,菲律宾,63015322,"66,651,904"
202206,褐煤,俄罗斯联邦,858520770,"590,794,228"
202206,焦炭,印度尼西亚,11,"1,149"
202206,焦炭,中国台湾,1137740,"2,794,579"
202206,焦炭,英国,40000,"141,045"
202206,焦炭,美国,8168,"141,227"
202206,焦油,马来西亚,5867570,"21,240,083"
202206,焦油,韩国,16000,"203,314"
202206,原油,印度尼西亚,55538301,"168,475,765"
202206,原油,伊朗,260349409,"1,495,723,295"
202206,原油,伊拉克,3198222491,"17,535,332,790"
202206,原油,科威特,2104271363,"11,956,762,322"
202206,原油,马来西亚,2650753421,"12,679,691,273"
202206,原油,阿曼,2072915706,"12,144,703,318"
202206,原油,卡塔尔,619464131,"3,744,255,769"
202206,原油,沙特阿拉伯,5058147439,"29,138,168,106"
202206,原油,泰国,42119775,"242,237,450"
202206,原油,阿联酋,3125958481,"18,039,348,513"
202206,原油,哈萨克斯坦,1053899149,"5,919,893,075"
202206,原油,安哥拉,2351566688,"13,179,586,306"
202206,原油,刚果(布),634811653,"3,576,982,118"
202206,原油,赤道几内亚,58911437,"429,517,467"
202206,原油,加纳,251859410,"1,528,728,007"
202206,原油,利比亚,203488654,"1,197,885,080"
202206,原油,挪威,410431177,"2,196,944,413"
202206,原油,俄罗斯联邦,7284209901,"34,851,746,698"
202206,原油,巴西,2004461686,"11,153,312,540"
202206,原油,哥伦比亚,976001707,"4,874,255,307"
202206,原油,圭亚那,411776335,"2,345,910,112"
202206,原油,加拿大,206509325,"926,985,453"
202206,原油,美国,672654613,"3,868,755,732"
202206,原油,澳大利亚,71916912,"530,065,471"
202206,原油,新西兰,27990110,"204,501,789"
202206,石脑油,印度,55000000,"334,697,024"
202206,石脑油,马来西亚,60137798,"370,879,463"
202206,石脑油,新加坡,33285499,"191,990,160"
202206,石脑油,韩国,95555200,"544,321,913"
202206,石脑油,阿尔及利亚,143945887,"909,471,334"
202206,石脑油,俄罗斯联邦,74191081,"357,200,327"
202206,石脑油,巴布亚新几内亚,29887967,"190,095,780"
202206,煤油,新加坡,84087,"583,459"
202206,煤油,韩国,28073259,"219,762,406"
202206,煤油,中国,26058337,"237,178,684"
202206,煤油,以色列,567,"86,347"
202206,煤油,日本,10548,"600,847"
202206,煤油,新加坡,768824,"7,091,624"
202206,煤油,韩国,199290,"2,040,913"
202206,煤油,泰国,20,"3,478"
202206,煤油,南非,25120,"411,379"
202206,煤油,比利时,19653,"653,173"
202206,煤油,英国,233,"240,754"
202206,煤油,德国,31933,"1,203,815"
202206,煤油,法国,18003,"749,643"
202206,煤油,荷兰,87700,"969,231"
202206,煤油,加拿大,354,"17,788"
202206,煤油,美国,299660,"2,981,206"
